"WaderBirdID","ObsCatchNr.x","BirdId.x","FirstCode","Code.x","BillShape","BH"
"STW1",1,1,"RY-YTRA","RY-YTRA","PB",4.300000191
"STW2",1,2,"RY-YTRB","RY-YTRB","HB",5.900000095
"STW3",3,3,"RY-YTRH","RY-YTRH","H",6.300000191
"STW4",3,4,"RY-YTRE","RY-YTRE","H",6.199999809
"STW5",3,5,"RY-YTRJ","RY-YTRJ","P",3.599999905
"STW6",3,6,"RY-YTRK","RY-YTRK","P",3.700000048
"STW7",3,7,"RY-YTRL","RY-YTRL","P",4.099999905
"STW8",3,8,"RY-YTRN","RY-YTRN","P",3.099999905
"STW9",3,9,"RY-YTRP","RY-YTRP","P",3.900000095
"STW11",3,11,"RY-YTRC","RY-YTRC","P",4.099999905
"STW12",4,12,"RY-YQRL","RY-YQRL","PB",4.599999905
"STW13",4,13,"LY-RLWP","LY-RLWP","P",3.599999905
"STW14",4,14,"LY-RLWQ","LY-RLWQ","PB",4.199999809
"STW15",4,15,"LY-RLWS","LY-RLWS","PB",4.199999809
"STW16",4,16,"LY-RLWY","LY-RLWY","PB",4.900000095
"STW17",4,17,"RY-YQRA","RY-YQRA","B",5.699999809
"STW18",4,18,"RY-YQRB","RY-YQRB","P",3.299999952
"STW19",4,19,"RY-YQRC","RY-YQRC","PB",4.400000095
"STW20",4,20,"RY-YQRE","RY-YQRE","P",3.400000095
"STW21",4,21,"RY-YQRH","RY-YQRH","P",3.900000095
"STW22",4,22,"RY-YQRK","RY-YQRK","B",4.800000191
"STW23",4,23,"RY-YQRN","RY-YQRN","P",3.099999905
"STW24",4,24,"LG-RTWB","LG-RTWB","PB",4.800000191
"STW25",4,25,"LG-RTWA","LG-RTWA","P",3.299999952
"STW26",4,26,"LY-RLWN","LY-RLWN","PB",4.300000191
"STW27",4,27,"RY-YQRZ","RY-YQRZ","PB",4.400000095
"STW28",4,28,"LY-RLWT","LY-RLWT","PB",4.5
"STW29",4,29,"RY-YQRY","RY-YQRY","PB",4.699999809
"STW30",4,30,"RY-YQRT","RY-YQRT","B",5.300000191
"STW31",4,31,"RY-YQRS","RY-YQRS","P",3.599999905
"STW32",4,32,"RY-YQRQ","RY-YQRQ","PB",4.699999809
"STW33",4,33,"RY-YQRP","RY-YQRP","PB",4.699999809
"STW34",4,34,"RY-YQRJ","RY-YQRJ","P",3.299999952
"STW35",4,35,"LY-RLWA","LY-RLWA","B",5.199999809
"STW36",4,36,"LY-RLWL","LY-RLWL","P",3.799999952
"STW37",4,37,"LY-RLWZ","LY-RLWZ","PB",4.099999905
"STW38",4,38,"RY-YTRT","RY-YTRT","PB",4.5
"STW39",4,39,"RY-YTRZ","RY-YTRZ","PB",3.299999952
"STW40",4,40,"LY-RLWB","LY-RLWB","PB",4.699999809
"STW41",4,41,"LY-RLWC","LY-RLWC","B",5.300000191
"STW42",4,42,"RY-YTRS","RY-YTRS","PB",4.199999809
"STW43",4,43,"LY-RLWE","LY-RLWE","B",5
"STW44",4,44,"LY-RLWH","LY-RLWH","P",2.900000095
"STW45",4,45,"LY-RLWJ","LY-RLWJ","PB",5.099999905
"STW46",4,46,"LY-RLWK","LY-RLWK","B",5
"STW47",4,47,"RY-YTRY","RY-YTRY","PB",4.400000095
"STW53",5,53,"LB-RBWS","LB-RBWS","P",3.900000095
"STW55",5,55,"RB-YKRE","RB-YKRE","P",3.400000095
"STW59",5,59,"RB-YKRL","RB-YKRL","P",3.200000048
"STW60",5,60,"LY-RKWZ","LY-RKWZ","P",3.200000048
"STW64",5,64,"RB-YKRK","RB-YKRK","P",3
"STW70",5,70,"LY-RKWL","LY-RKWL","P",3.799999952
"STW71",5,71,"RB-YNRT","RB-YNRT","P",3.400000095
"STW72",5,72,"RB-YKRB","RB-YKRB","P",4
