ObsCatchNr;BirdId;Code
1;1;RY-YTRA
1;2;RY-YTRB
3;3;RY-YTRH
3;4;RY-YTRE
3;5;RY-YTRJ
3;6;RY-YTRK
3;7;RY-YTRL
3;8;RY-YTRN
3;9;RY-YTRP
3;11;RY-YTRC
4;12;RY-YQRL
4;13;LY-RLWP
4;14;LY-RLWQ
4;15;LY-RLWS
4;16;LY-RLWY
4;17;RY-YQRA
4;18;RY-YQRB
4;19;RY-YQRC
4;20;RY-YQRE
4;21;RY-YQRH
4;22;RY-YQRK
4;23;RY-YQRN
4;24;LG-RTWB
4;25;LG-RTWA
4;26;LY-RLWN
4;27;RY-YQRZ
4;28;LY-RLWT
4;29;RY-YQRY
4;30;RY-YQRT
4;31;RY-YQRS
4;32;RY-YQRQ
4;33;RY-YQRP
4;34;RY-YQRJ
4;35;LY-RLWA
4;36;LY-RLWL
4;37;LY-RLWZ
4;38;RY-YTRT
4;39;RY-YTRZ
4;40;LY-RLWB
4;41;LY-RLWC
4;42;RY-YTRS
4;43;LY-RLWE
4;44;LY-RLWH
4;45;LY-RLWJ
4;46;LY-RLWK
4;47;RY-YTRY
5;53;LB-RBWS
5;55;RB-YKRE
5;59;RB-YKRL
5;60;LY-RKWZ
5;64;RB-YKRK
5;70;LY-RKWL
5;71;RB-YNRT
5;72;RB-YKRB
5;76;LY-RKWY
5;77;RB-YKRA
5;111;LB-RCWQ
5;116;RB-YNRL
5;117;LG-RTWY
5;118;LG-RTWZ
5;119;RB-YNRA
5;120;RB-YNRB
5;121;RB-YNRC
5;122;RB-YNRE
5;123;RB-YNRH
5;124;LG-RQWT
5;125;RB-YNRK
5;126;LG-RTWQ
5;127;RB-YNRN
5;128;RB-YNRP
5;129;RB-YNRQ
5;130;RB-YNRS
5;131;LG-RTWC
5;132;LG-RQWP
5;133;LG-RQWQ
5;134;LG-RQWS
5;136;LG-RQWN
5;137;RB-YNRY
5;138;RB-YNRZ
5;139;LG-RQWA
5;140;LG-RQWB
5;142;LG-RQWE
