"Parameter" "ESS"
"1" "alpha0" 199.886518817181
"2" "alpha1" 1515.35975097304
"3" "alpha2" 1311.37148311917
"4" "alpha3" 678.320499256875
"5" "alpha4" 1373.08341096184
"6" "alpha5" 1039.52217528655
"7" "alpha6" 1800
"8" "alpha7[2]" 389.739277249446
"9" "alpha7[3]" 227.094882579301
"10" "delta0" 285.915349359181
"11" "delta1" 1322.18175282531
"12" "delta2" 1000.17498341863
"13" "delta3" 1800
"14" "delta4[2]" 697.857992672555
"15" "delta4[3]" 311.894033556312
"16" "delta5[2]" 764.828402943543
"17" "theta0" 300.886346232347
"18" "theta1" 1138.72318756804
"19" "theta2" 798.119039135922
"20" "theta3" 2378.1664938684
"21" "theta4[2]" 640.110148943401
"22" "theta4[3]" 343.973304592212
"23" "theta5[2]" 792.231702784252
"24" "sig1x" 1800
"25" "sig2x" 1800
"26" "sig3x" 1800
"27" "sig4x" 1679.64502442685
"28" "sig5x" 1800
"29" "sig6x" 1931.87771517137
"30" "sig7x" 1668.29106429455
"31" "sig8x" 1450.74979848404
"32" "sig9x" 1800
"33" "gamma2" 54.7990015712332
"34" "gamma3" 63.6146797249416
"35" "beta1" 92.6166865503963
"36" "beta2" 118.314496353809
