"";"prhat_SEM$psrf[, 1]"
"alpha0";1,01391388734749
"alpha1";1,00134027151495
"alpha2";0,99914127944046
"alpha3";1,00693387964471
"alpha4";1,00164283875204
"alpha5";1,01287482474351
"alpha52";1,00560812614875
"alpha6";1,00574867528825
"alpha7[2]";1,00892986693195
"alpha7[3]";1,00953079076093
"delta0";1,02252002265695
"delta1";1,00029963707262
"delta2";1,00549704207293
"delta22";1,00233982924222
"delta3";0,999429701677662
"delta4[2]";1,01640016518732
"delta4[3]";1,03348454279921
"delta5[2]";0,999376961645409
"theta0";1,07300256706566
"theta1";1,01908654531573
"theta2";1,01104888912103
"theta22";1,03425354866856
"theta3";0,999384433138337
"theta4[2]";1,00728453788077
"theta4[3]";1,0281039543459
"theta5[2]";1,01230861657341
"sig1x";1,00015910956157
"sig2x";1,00220110961859
"sig3x";0,998956855493204
"sig4x";1,00330057613549
"sig5x";0,999776149637694
"sig6x";0,999535130404659
"sig7x";1,00074141718625
"sig8x";1,0144973165999
"sig9x";1,00011866590528
"beta1";1,01671955359301
"beta2";1,03106292247076
"gamma2";1,04288554478241
"gamma3";1,06267146142901
"eta1[160]";1,05090584781199
"eta1[320]";1,0507694668696
"eta1[480]";0,999933428491808
"eta1[560]";1,0228707491425
"eta1[720]";1,06104455449932
"mu1[160]";1,00779921474104
"mu1[320]";0,99926060634928
"mu1[480]";1,00125399485336
"mu1[560]";0,999055187644692
"mu1[720]";1,00181175725351
"mu2[160]";1,03143528572195
"mu2[320]";1,00597144477394
"mu2[480]";0,999079742948001
"mu2[560]";0,999480700683971
"mu2[720]";1,00210114562677
"mu3[160]";1,02933382983784
"mu3[320]";0,999167623393468
"mu3[480]";0,999958819282205
"mu3[560]";1,00678004474687
"mu3[720]";1,0210957060099
