"";"PSRF"
"betaSW2[5]";1,01195835390404
"betaSW4[2]";1,34400456734913
"betaSW5[7]";1,02816380125165
"betaSW7[4]";1,00059577252168
"betaSW9[1]";1,01741493617273
"betaWS2[5]";1,01719589267608
"betaWS4[2]";1,3675179206469
"betaWS5[7]";1,00897723551479
"betaWS7[4]";1,00207529977691
"betaWS9[1]";0,999243861661917
"pi[1]";1,03573342940204
"pi[2]";1,00674482330535
"pi[4]";1,02720057302882
"pi[6]";1,03286393872401
"pi[8]";1,02091154229483
"sigmat.p[1]";1,00686312493453
"sigmat.p[3]";1,02057301514439
"sigmat.p[5]";1,16372881726582
"sigmat.p[7]";0,999421976946423
"sigmat.p[9]";1,02940165401363
"sigmat.phi[1]";1,08426392899824
"sigmat.phi[3]";1,10441298448776
"sigmat.phi[5]";1,00497978209949
"sigmat.phi[7]";1,01946779292339
"sigmat.phi[9]";1,06481598734792
"phi[1, 2, 3]";1,027661460387
"phi[3, 9, 5]";1,01183604153155
"phi[5, 566, 7]";1,08832720349503
"phi[6, 340, 7]";1,00381052017698
"phi[5, 682, 8]";1,0060433620898
"p[1, 2, 3]";1,02141010871578
"p[3, 9, 5]";1,0324336522428
"p[5, 566, 7]";1,0223310638129
"p[6, 340, 7]";1,00027509529223
"p[5, 682, 8]";1,00536282503251
"epst.p[4, 2]";1,10976513044071
"epst.p[1, 4]";1,0002916933655
"epst.p[5, 5]";1,00642517049014
"epst.p[3, 7]";0,999746742441312
"epst.p[9, 7]";1,01400906305574
"epst.phi[4, 2]";1,01446060191334
"epst.phi[1, 4]";1,09360294011739
"epst.phi[5, 5]";1,00526187215545
"epst.phi[3, 7]";1,03721288478876
"epst.phi[9, 7]";0,999835938470098
