"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[1]",-1.29,-1.31,0.32,-1.84,-0.61
"eta1[2]",-1.52,-1.51,0.1,-1.72,-1.34
"eta1[3]",-0.1,-0.12,0.36,-0.81,0.67
"eta1[4]",-0.79,-0.79,0.3,-1.37,-0.15
"eta1[5]",1.89,1.86,0.84,0.27,3.68
"eta1[6]",0.55,0.53,0.34,-0.12,1.27
"eta1[7]",0.23,0.2,0.61,-0.95,1.52
"eta1[8]",-1.37,-1.38,0.32,-2.01,-0.7
"eta1[9]",-0.09,-0.1,0.14,-0.36,0.19
"eta1[10]",0.54,0.53,0.33,-0.1,1.24
"eta1[11]",2.36,2.31,0.78,0.93,4.01
"eta1[12]",-0.18,-0.19,0.19,-0.53,0.21
"eta1[13]",1.67,1.65,0.47,0.77,2.68
"eta1[14]",-2.51,-2.48,0.96,-4.52,-0.63
"eta1[15]",0.13,0.14,0.08,-0.03,0.28
"eta1[16]",-0.2,-0.19,0.14,-0.5,0.08
"eta1[17]",-0.31,-0.31,0.07,-0.45,-0.15
"eta1[18]",1.42,1.41,0.27,0.94,2.01
"eta1[19]",0.48,0.45,0.79,-1.05,2.16
"eta1[20]",0.13,0.11,0.5,-0.85,1.2
"eta1[21]",2.36,2.33,0.46,1.56,3.34
"eta1[22]",2.37,2.33,0.86,0.73,4.19
"eta1[23]",1.87,1.85,0.91,0.12,3.81
"eta1[24]",-0.56,-0.55,0.2,-1.01,-0.19
"eta1[25]",2.32,2.29,0.67,1.01,3.74
"eta1[26]",0.8,0.78,0.46,-0.09,1.78
"eta1[27]",1.14,1.13,0.31,0.55,1.79
"eta1[28]",1.64,1.62,0.34,0.97,2.37
"eta1[29]",-1.13,-1.13,0.19,-1.54,-0.75
"eta1[30]",0.16,0.15,0.26,-0.33,0.71
"eta1[31]",-0.59,-0.58,0.2,-1.04,-0.23
"eta1[32]",0.8,0.79,0.4,0.03,1.66
"eta1[33]",0.24,0.25,0.09,0.05,0.4
"eta1[34]",2.17,2.12,0.63,1.08,3.53
"eta1[35]",1.25,1.22,0.8,-0.32,2.94
"eta1[36]",1.41,1.38,0.48,0.51,2.43
"eta1[37]",-2.75,-2.77,1,-4.79,-0.76
"eta1[38]",-0.52,-0.53,0.57,-1.63,0.7
"eta1[39]",1.55,1.49,0.84,0.04,3.41
"eta1[40]",0.33,0.32,0.36,-0.37,1.08
"eta1[41]",-1.12,-1.09,0.33,-1.81,-0.53
"eta1[42]",-0.61,-0.61,0.11,-0.85,-0.39
"eta1[43]",-1.12,-1.13,0.23,-1.58,-0.64
"eta1[44]",-0.69,-0.7,0.26,-1.16,-0.12
"eta1[45]",1.94,1.91,0.64,0.72,3.29
"eta1[46]",2.08,2.02,0.81,0.58,3.79
"eta1[47]",0.52,0.51,0.28,-0.02,1.11
"eta1[48]",-1.16,-1.14,0.42,-2.04,-0.34
"eta1[49]",2.36,2.33,0.67,1.1,3.77
"eta1[50]",-0.6,-0.62,0.49,-1.54,0.43
"eta1[51]",0.92,0.91,0.67,-0.4,2.33
"eta1[52]",0.45,0.44,0.2,0.05,0.88
"eta1[53]",0.02,0.02,0.19,-0.34,0.42
"eta1[54]",-0.43,-0.45,0.27,-0.91,0.16
"eta1[55]",-0.98,-0.96,0.32,-1.68,-0.41
"eta1[56]",-1.18,-1.2,0.26,-1.69,-0.63
"eta1[57]",-2.44,-2.4,0.63,-3.79,-1.25
"eta1[58]",0.65,0.65,0.42,-0.18,1.54
"eta1[59]",-0.93,-0.93,0.17,-1.26,-0.56
"eta1[60]",0.74,0.72,0.26,0.28,1.3
"eta1[61]",-2.15,-2.14,0.16,-2.51,-1.86
"eta1[62]",-2.88,-2.86,0.52,-3.98,-1.87
"eta1[63]",-1.22,-1.25,0.43,-1.97,-0.28
"eta1[64]",-0.99,-0.98,0.17,-1.35,-0.69
"eta1[65]",-0.7,-0.69,0.25,-1.23,-0.2
"eta1[66]",-0.89,-0.91,0.4,-1.69,-0.04
"eta1[67]",2.62,2.61,0.53,1.61,3.74
"eta1[68]",2.06,2.04,0.46,1.16,3.03
"eta1[69]",-1.17,-1.15,0.2,-1.61,-0.81
"eta1[70]",-0.67,-0.65,0.44,-1.63,0.09
"eta1[71]",0.78,0.78,0.32,0.16,1.45
"eta1[72]",1.59,1.55,0.83,0.02,3.34
"eta1[73]",-0.44,-0.45,0.26,-0.96,0.12
"eta1[74]",-1.47,-1.47,0.11,-1.69,-1.24
"eta1[75]",1.45,1.43,0.54,0.4,2.59
"eta1[76]",-1,-0.98,0.31,-1.65,-0.46
"eta1[77]",-1.83,-1.83,0.08,-1.98,-1.67
"eta1[78]",-0.78,-0.77,0.13,-1.05,-0.52
"eta1[79]",-0.45,-0.48,0.94,-2.31,1.53
"eta1[80]",-2.76,-2.76,0.12,-3,-2.5
"eta1[81]",-0.37,-0.38,0.25,-0.81,0.17
"eta1[82]",-0.49,-0.48,0.29,-1.1,0.08
"eta1[83]",0.81,0.8,0.37,0.07,1.59
"eta1[84]",-0.72,-0.73,0.15,-1.02,-0.4
"eta1[85]",0.4,0.39,0.21,0.03,0.86
"eta1[86]",-0.09,-0.09,0.08,-0.28,0.06
"eta1[87]",0,-0.04,0.74,-1.31,1.64
"eta1[88]",-2.1,-2.09,0.14,-2.41,-1.83
"eta1[89]",1.26,1.28,0.26,0.68,1.75
"eta1[90]",-1.11,-1.1,0.07,-1.26,-0.99
"eta1[91]",0.2,0.18,0.29,-0.36,0.81
"eta1[92]",-1.12,-1.11,0.14,-1.39,-0.84
"eta1[93]",0.47,0.46,0.38,-0.27,1.28
"eta1[94]",1.72,1.69,0.87,0.02,3.57
"eta1[95]",-0.74,-0.73,0.33,-1.42,-0.07
