"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu1[1]",-0.4,-0.4,0.05,-0.49,-0.31
"mu1[2]",0,0,0.07,-0.13,0.13
"mu1[3]",0.38,0.37,0.07,0.23,0.52
"mu1[4]",0.28,0.28,0.08,0.12,0.44
"mu1[5]",-0.38,-0.38,0.07,-0.52,-0.26
"mu1[6]",-0.08,-0.08,0.06,-0.19,0.04
"mu1[7]",0.59,0.59,0.06,0.47,0.7
"mu1[8]",1.1,1.11,0.07,0.97,1.24
"mu1[9]",0.69,0.69,0.05,0.6,0.78
"mu1[10]",0.3,0.3,0.08,0.13,0.46
"mu1[11]",-0.65,-0.65,0.07,-0.78,-0.53
"mu1[12]",0.56,0.56,0.05,0.46,0.65
"mu1[13]",-0.58,-0.58,0.07,-0.72,-0.44
"mu1[14]",-0.53,-0.53,0.06,-0.65,-0.42
"mu1[15]",-0.26,-0.26,0.05,-0.36,-0.15
"mu1[16]",0.03,0.03,0.05,-0.07,0.13
"mu1[17]",-0.14,-0.14,0.07,-0.27,-0.02
"mu1[18]",-0.64,-0.64,0.06,-0.77,-0.52
"mu1[19]",0.04,0.04,0.05,-0.07,0.14
"mu1[20]",0.65,0.65,0.06,0.53,0.77
"mu1[21]",-1.5,-1.5,0.08,-1.66,-1.33
"mu1[22]",-0.75,-0.75,0.08,-0.89,-0.6
"mu1[23]",-0.33,-0.33,0.07,-0.47,-0.18
"mu1[24]",0.24,0.24,0.07,0.11,0.37
"mu1[25]",-0.23,-0.23,0.07,-0.36,-0.11
"mu1[26]",0.17,0.17,0.05,0.07,0.26
"mu1[27]",-0.69,-0.69,0.06,-0.82,-0.57
"mu1[28]",-0.38,-0.38,0.05,-0.48,-0.28
"mu1[29]",0.07,0.06,0.05,-0.03,0.16
"mu1[30]",-0.8,-0.8,0.07,-0.93,-0.67
"mu1[31]",-0.03,-0.03,0.06,-0.15,0.07
"mu1[32]",0.42,0.42,0.06,0.31,0.53
"mu1[33]",0.18,0.18,0.05,0.07,0.28
"mu1[34]",-1.14,-1.14,0.07,-1.27,-1
"mu1[35]",0.29,0.29,0.05,0.19,0.39
"mu1[36]",-0.08,-0.08,0.04,-0.15,-0.01
"mu1[37]",0.6,0.6,0.05,0.51,0.7
"mu1[38]",0.36,0.36,0.07,0.24,0.49
"mu1[39]",-0.61,-0.61,0.06,-0.75,-0.49
"mu1[40]",-0.44,-0.44,0.06,-0.56,-0.32
"mu1[41]",0.56,0.56,0.04,0.47,0.65
"mu1[42]",0.53,0.53,0.06,0.42,0.64
"mu1[43]",0.43,0.43,0.05,0.33,0.54
"mu1[44]",0.01,0.01,0.03,-0.05,0.08
"mu1[45]",-0.57,-0.57,0.06,-0.69,-0.44
"mu1[46]",0.03,0.03,0.07,-0.11,0.17
"mu1[47]",-0.54,-0.54,0.13,-0.8,-0.3
"mu1[48]",0.09,0.09,0.16,-0.21,0.39
"mu1[49]",-0.29,-0.29,0.17,-0.62,0.03
"mu1[50]",0.51,0.51,0.15,0.22,0.8
"mu1[51]",0.43,0.43,0.16,0.12,0.74
"mu1[52]",0.47,0.47,0.14,0.19,0.73
"mu1[53]",-1.15,-1.16,0.09,-1.33,-0.99
"mu1[54]",0.69,0.69,0.16,0.38,0.98
"mu1[55]",0.11,0.11,0.14,-0.17,0.38
"mu1[56]",0.56,0.56,0.15,0.26,0.84
"mu1[57]",0.73,0.73,0.21,0.32,1.13
"mu1[58]",-0.03,-0.03,0.05,-0.12,0.07
"mu1[59]",-0.74,-0.74,0.07,-0.86,-0.61
"mu1[60]",-1.46,-1.46,0.08,-1.61,-1.3
"mu1[61]",0.69,0.69,0.05,0.59,0.79
"mu1[62]",0.17,0.18,0.05,0.08,0.26
"mu1[63]",-0.49,-0.49,0.07,-0.63,-0.36
"mu1[64]",-0.66,-0.66,0.06,-0.78,-0.53
"mu1[65]",-0.61,-0.61,0.06,-0.72,-0.5
"mu1[66]",-0.01,-0.01,0.06,-0.13,0.1
"mu1[67]",-1.28,-1.28,0.07,-1.41,-1.14
"mu1[68]",-0.26,-0.26,0.07,-0.4,-0.13
"mu1[69]",-0.73,-0.73,0.07,-0.85,-0.6
"mu1[70]",0.16,0.16,0.04,0.07,0.25
"mu1[71]",-0.35,-0.35,0.05,-0.45,-0.25
"mu1[72]",-0.95,-0.94,0.07,-1.07,-0.81
"mu1[73]",-0.66,-0.66,0.06,-0.77,-0.54
"mu1[74]",-0.33,-0.33,0.07,-0.46,-0.19
"mu1[75]",-0.9,-0.91,0.07,-1.04,-0.76
"mu1[76]",-0.37,-0.37,0.06,-0.49,-0.24
"mu1[77]",0.18,0.18,0.05,0.08,0.27
"mu1[78]",-0.11,-0.11,0.09,-0.28,0.05
"mu1[79]",0.15,0.15,0.08,-0.01,0.3
"mu1[80]",0.2,0.2,0.06,0.08,0.32
"mu1[81]",-0.79,-0.79,0.08,-0.95,-0.63
"mu1[82]",-0.49,-0.49,0.06,-0.61,-0.38
"mu1[83]",-0.58,-0.58,0.06,-0.69,-0.47
"mu1[84]",-0.02,-0.02,0.08,-0.17,0.13
"mu1[85]",-0.63,-0.63,0.06,-0.75,-0.5
"mu1[86]",-1.35,-1.35,0.09,-1.51,-1.17
"mu1[87]",-1.01,-1.01,0.09,-1.19,-0.83
"mu1[88]",0.5,0.5,0.06,0.38,0.63
"mu1[89]",-0.65,-0.65,0.06,-0.76,-0.53
"mu1[90]",-0.11,-0.11,0.05,-0.2,-0.02
"mu1[91]",0.09,0.09,0.04,0.01,0.17
"mu1[92]",0.53,0.53,0.04,0.44,0.61
"mu1[93]",-0.44,-0.44,0.09,-0.62,-0.27
"mu1[94]",-0.89,-0.89,0.09,-1.07,-0.72
"mu1[95]",-0.14,-0.14,0.07,-0.28,0
"mu1[96]",-0.38,-0.38,0.1,-0.59,-0.18
"mu1[97]",0.01,0.01,0.11,-0.2,0.23
"mu1[98]",-0.23,-0.23,0.05,-0.34,-0.13
"mu1[99]",-0.41,-0.41,0.08,-0.57,-0.26
"mu1[100]",-0.2,-0.2,0.1,-0.4,-0.01
"mu1[101]",-0.21,-0.21,0.06,-0.32,-0.1
"mu1[102]",-0.03,-0.03,0.05,-0.12,0.07
"mu1[103]",-0.78,-0.78,0.08,-0.92,-0.63
"mu1[104]",-0.66,-0.66,0.11,-0.89,-0.44
"mu1[105]",-0.44,-0.44,0.07,-0.59,-0.3
"mu1[106]",-0.75,-0.75,0.08,-0.91,-0.59
"mu1[107]",-0.32,-0.33,0.06,-0.44,-0.21
"mu1[108]",0.11,0.11,0.07,-0.02,0.25
"mu1[109]",0.13,0.13,0.06,0.02,0.24
"mu1[110]",-0.67,-0.67,0.07,-0.81,-0.54
"mu1[111]",-0.33,-0.33,0.07,-0.47,-0.18
"mu1[112]",0.38,0.38,0.07,0.25,0.51
"mu1[113]",0.33,0.32,0.08,0.17,0.49
"mu1[114]",0.41,0.41,0.08,0.26,0.57
"mu1[115]",-0.45,-0.45,0.08,-0.61,-0.3
"mu1[116]",0.37,0.37,0.07,0.22,0.51
"mu1[117]",0.86,0.86,0.07,0.73,0.99
"mu1[118]",-1.07,-1.07,0.07,-1.21,-0.94
"mu1[119]",-1.57,-1.57,0.09,-1.74,-1.4
"mu1[120]",-1.19,-1.19,0.1,-1.4,-1.01
"mu1[121]",0.39,0.39,0.04,0.31,0.48
"mu1[122]",0.01,0.02,0.04,-0.07,0.09
"mu1[123]",-0.21,-0.21,0.04,-0.29,-0.14
"mu1[124]",0.17,0.17,0.04,0.09,0.25
"mu1[125]",0.45,0.45,0.07,0.32,0.58
"mu1[126]",-0.11,-0.11,0.07,-0.25,0.02
"mu1[127]",0.61,0.61,0.05,0.52,0.71
"mu1[128]",1.01,1.01,0.07,0.87,1.16
"mu1[129]",0.14,0.14,0.05,0.04,0.24
"mu1[130]",0.01,0.01,0.04,-0.08,0.1
"mu1[131]",0.44,0.44,0.08,0.28,0.59
"mu1[132]",0.11,0.11,0.04,0.03,0.19
"mu1[133]",0.29,0.3,0.04,0.22,0.37
"mu1[134]",0.55,0.55,0.05,0.45,0.64
"mu1[135]",0.2,0.2,0.04,0.11,0.29
"mu1[136]",-0.21,-0.21,0.07,-0.35,-0.06
"mu1[137]",-0.39,-0.39,0.06,-0.51,-0.28
"mu1[138]",0.32,0.32,0.08,0.16,0.47
"mu1[139]",-0.86,-0.86,0.07,-0.99,-0.73
"mu1[140]",-0.1,-0.1,0.04,-0.18,-0.02
"mu1[141]",-0.1,-0.1,0.04,-0.18,-0.02
"mu1[142]",-0.89,-0.89,0.07,-1.03,-0.75
"mu1[143]",0.38,0.38,0.05,0.27,0.49
"mu1[144]",0.7,0.7,0.05,0.6,0.8
"mu1[145]",-0.48,-0.48,0.07,-0.62,-0.36
"mu1[146]",-0.32,-0.31,0.06,-0.43,-0.2
"mu1[147]",0.32,0.32,0.03,0.26,0.39
"mu1[148]",-0.55,-0.55,0.05,-0.64,-0.46
"mu1[149]",0.16,0.16,0.07,0.02,0.28
"mu1[150]",-1.07,-1.07,0.06,-1.2,-0.95
"mu1[151]",-0.61,-0.61,0.09,-0.78,-0.45
"mu1[152]",-0.57,-0.57,0.07,-0.71,-0.44
"mu1[153]",0.11,0.11,0.06,-0.02,0.23
"mu1[154]",-0.01,0,0.04,-0.09,0.08
"mu1[155]",0.87,0.87,0.05,0.78,0.96
"mu1[156]",0.49,0.49,0.04,0.4,0.58
"mu1[157]",-0.6,-0.6,0.07,-0.74,-0.48
"mu1[158]",-0.59,-0.59,0.06,-0.71,-0.48
"mu1[159]",-0.44,-0.44,0.09,-0.61,-0.26
"mu1[160]",-0.18,-0.17,0.07,-0.33,-0.05
"mu1[161]",0.31,0.32,0.1,0.14,0.51
"mu1[162]",-0.38,-0.38,0.04,-0.47,-0.3
"mu1[163]",-0.74,-0.74,0.08,-0.9,-0.6
"mu1[164]",-0.02,-0.02,0.06,-0.14,0.11
"mu1[165]",-0.18,-0.17,0.08,-0.34,-0.04
"mu1[166]",0.21,0.21,0.09,0.03,0.39
"mu1[167]",-0.54,-0.54,0.04,-0.63,-0.46
"mu1[168]",-1.89,-1.89,0.09,-2.06,-1.7
"mu1[169]",-0.12,-0.12,0.05,-0.22,-0.02
"mu1[170]",-0.72,-0.72,0.06,-0.83,-0.61
"mu1[171]",-0.26,-0.26,0.03,-0.33,-0.19
"mu1[172]",-0.3,-0.3,0.04,-0.38,-0.21
"mu1[173]",-0.14,-0.14,0.04,-0.22,-0.06
"mu1[174]",0.16,0.16,0.06,0.05,0.27
"mu1[175]",-0.07,-0.07,0.04,-0.15,0.02
"mu1[176]",-0.11,-0.11,0.06,-0.22,0
"mu1[177]",0.12,0.12,0.03,0.06,0.19
"mu1[178]",0.33,0.33,0.06,0.21,0.44
"mu1[179]",-0.03,-0.03,0.04,-0.11,0.04
"mu1[180]",-0.92,-0.91,0.08,-1.08,-0.76
"mu1[181]",-0.55,-0.55,0.06,-0.68,-0.43
"mu1[182]",0.56,0.56,0.08,0.41,0.71
"mu1[183]",0.62,0.62,0.05,0.52,0.71
"mu1[184]",0.32,0.32,0.04,0.25,0.4
"mu1[185]",0.87,0.87,0.06,0.75,0.99
"mu1[186]",-0.26,-0.26,0.08,-0.41,-0.1
"mu1[187]",0.43,0.44,0.04,0.35,0.52
"mu1[188]",0.6,0.6,0.05,0.5,0.71
"mu1[189]",-0.28,-0.28,0.06,-0.39,-0.17
"mu1[190]",-0.18,-0.18,0.06,-0.3,-0.07
"mu1[191]",0.2,0.2,0.05,0.11,0.3
"mu1[192]",-1.14,-1.14,0.07,-1.28,-0.99
"mu1[193]",0.47,0.47,0.06,0.35,0.59
"mu1[194]",0.17,0.17,0.06,0.06,0.3
"mu1[195]",0.01,0.01,0.05,-0.08,0.11
"mu1[196]",0.58,0.58,0.06,0.46,0.71
"mu1[197]",0.17,0.17,0.04,0.08,0.26
"mu1[198]",-0.03,-0.03,0.06,-0.15,0.08
"mu1[199]",0.77,0.77,0.06,0.64,0.89
"mu1[200]",0.31,0.31,0.06,0.19,0.43
"mu1[201]",0.72,0.72,0.08,0.57,0.87
"mu1[202]",0.67,0.67,0.07,0.53,0.81
"mu1[203]",0.33,0.33,0.06,0.22,0.44
"mu1[204]",0.2,0.2,0.05,0.09,0.3
"mu1[205]",-0.12,-0.12,0.08,-0.28,0.03
"mu1[206]",0.56,0.56,0.06,0.43,0.67
"mu1[207]",-0.07,-0.07,0.07,-0.21,0.06
"mu1[208]",-0.43,-0.44,0.07,-0.57,-0.3
"mu1[209]",0.09,0.09,0.03,0.03,0.15
"mu1[210]",0.57,0.57,0.04,0.48,0.66
"mu1[211]",0.2,0.2,0.05,0.09,0.31
"mu1[212]",0.28,0.28,0.05,0.18,0.39
"mu1[213]",-0.04,-0.04,0.05,-0.13,0.06
"mu1[214]",0.54,0.54,0.06,0.43,0.65
"mu1[215]",-0.15,-0.15,0.03,-0.22,-0.09
"mu1[216]",-0.1,-0.1,0.04,-0.18,-0.02
"mu1[217]",0.14,0.13,0.05,0.04,0.23
"mu1[218]",0.08,0.08,0.05,-0.02,0.18
"mu1[219]",0.9,0.9,0.05,0.8,1
"mu1[220]",0.09,0.09,0.04,0,0.17
"mu1[221]",-0.51,-0.51,0.05,-0.62,-0.42
"mu1[222]",-0.04,-0.03,0.04,-0.11,0.04
"mu1[223]",-0.17,-0.17,0.03,-0.23,-0.1
"mu1[224]",0.08,0.08,0.04,-0.01,0.16
"mu1[225]",-0.18,-0.18,0.05,-0.28,-0.08
"mu1[226]",0.13,0.13,0.04,0.04,0.21
"mu1[227]",0.84,0.84,0.06,0.73,0.95
"mu1[228]",-0.52,-0.52,0.06,-0.62,-0.41
"mu1[229]",0.05,0.05,0.04,-0.04,0.13
"mu1[230]",0.91,0.91,0.06,0.79,1.02
"mu1[231]",0.45,0.45,0.05,0.36,0.54
"mu1[232]",0.15,0.15,0.05,0.06,0.25
"mu1[233]",-0.78,-0.78,0.06,-0.9,-0.67
"mu1[234]",-0.21,-0.21,0.05,-0.31,-0.11
"mu1[235]",0.17,0.17,0.07,0.03,0.3
"mu1[236]",0.41,0.42,0.04,0.33,0.5
"mu1[237]",-1.05,-1.05,0.07,-1.19,-0.9
"mu1[238]",-1.03,-1.03,0.07,-1.16,-0.89
"mu1[239]",0.36,0.36,0.07,0.22,0.5
"mu1[240]",-0.47,-0.47,0.07,-0.6,-0.34
"mu1[241]",-0.14,-0.14,0.06,-0.26,-0.03
"mu1[242]",0.61,0.61,0.07,0.48,0.74
"mu1[243]",0.12,0.12,0.06,0,0.23
"mu1[244]",0.62,0.62,0.05,0.52,0.72
"mu1[245]",0.25,0.25,0.05,0.16,0.34
"mu1[246]",0.21,0.22,0.04,0.14,0.29
"mu1[247]",-0.15,-0.15,0.08,-0.3,-0.01
"mu1[248]",0.17,0.17,0.09,-0.01,0.33
"mu1[249]",0.76,0.76,0.07,0.62,0.9
"mu1[250]",0.33,0.33,0.07,0.19,0.47
"mu1[251]",-0.03,-0.02,0.06,-0.16,0.1
"mu1[252]",-0.36,-0.35,0.09,-0.54,-0.17
"mu1[253]",0.15,0.15,0.08,0,0.31
"mu1[254]",0.11,0.11,0.09,-0.06,0.29
"mu1[255]",-0.16,-0.16,0.08,-0.32,0
"mu1[256]",-0.03,-0.03,0.06,-0.15,0.08
"mu1[257]",-0.61,-0.61,0.07,-0.74,-0.48
"mu1[258]",-0.25,-0.24,0.05,-0.34,-0.15
"mu1[259]",-0.43,-0.43,0.08,-0.58,-0.28
"mu1[260]",-0.31,-0.31,0.05,-0.41,-0.21
"mu1[261]",-0.31,-0.31,0.08,-0.46,-0.15
"mu1[262]",-0.02,-0.01,0.07,-0.15,0.11
"mu1[263]",0.34,0.34,0.05,0.23,0.44
"mu1[264]",-0.81,-0.81,0.09,-0.98,-0.64
"mu1[265]",0.86,0.86,0.05,0.76,0.97
"mu1[266]",0.02,0.02,0.05,-0.08,0.12
"mu1[267]",0.13,0.13,0.04,0.05,0.2
"mu1[268]",-0.14,-0.14,0.06,-0.27,-0.02
"mu1[269]",0.31,0.31,0.05,0.22,0.4
"mu1[270]",0.11,0.11,0.04,0.02,0.19
"mu1[271]",0.52,0.52,0.05,0.42,0.63
"mu1[272]",-0.56,-0.55,0.07,-0.7,-0.42
"mu1[273]",-0.02,-0.02,0.06,-0.14,0.09
"mu1[274]",0.07,0.07,0.05,-0.02,0.16
"mu1[275]",0.21,0.21,0.05,0.11,0.31
"mu1[276]",-0.12,-0.12,0.05,-0.21,-0.03
"mu1[277]",-0.33,-0.33,0.05,-0.42,-0.23
"mu1[278]",-0.76,-0.76,0.1,-0.95,-0.56
"mu1[279]",-0.01,-0.01,0.06,-0.12,0.09
"mu1[280]",0.39,0.39,0.05,0.3,0.49
"mu1[281]",0.08,0.09,0.06,-0.02,0.19
"mu1[282]",-0.67,-0.67,0.06,-0.8,-0.54
"mu1[283]",0.25,0.25,0.06,0.13,0.37
"mu1[284]",-0.02,-0.02,0.04,-0.11,0.06
"mu1[285]",0.24,0.24,0.08,0.08,0.41
"mu1[286]",0.18,0.18,0.05,0.07,0.28
"mu1[287]",-0.49,-0.49,0.09,-0.66,-0.32
"mu1[288]",0.33,0.33,0.08,0.17,0.48
"mu1[289]",-0.11,-0.11,0.04,-0.2,-0.03
"mu1[290]",0.18,0.18,0.04,0.1,0.27
"mu1[291]",0.42,0.42,0.04,0.34,0.5
"mu1[292]",0.37,0.37,0.04,0.29,0.45
"mu1[293]",0.18,0.18,0.05,0.08,0.27
"mu1[294]",0.04,0.04,0.05,-0.05,0.13
"mu1[295]",-0.01,-0.01,0.06,-0.13,0.09
"mu1[296]",-0.3,-0.3,0.08,-0.46,-0.15
"mu1[297]",-0.58,-0.57,0.06,-0.7,-0.46
"mu1[298]",0.2,0.2,0.05,0.1,0.3
"mu1[299]",0.35,0.35,0.06,0.23,0.47
"mu1[300]",-0.21,-0.21,0.06,-0.33,-0.09
"mu1[301]",-0.25,-0.25,0.06,-0.36,-0.14
"mu1[302]",0.46,0.46,0.06,0.34,0.58
"mu1[303]",0.08,0.08,0.06,-0.03,0.19
"mu1[304]",0.28,0.28,0.05,0.18,0.37
"mu1[305]",-0.1,-0.09,0.09,-0.27,0.06
"mu1[306]",-0.1,-0.1,0.06,-0.22,0.02
"mu1[307]",-0.97,-0.97,0.08,-1.13,-0.83
"mu1[308]",-0.02,-0.02,0.08,-0.18,0.14
"mu1[309]",-0.31,-0.31,0.08,-0.46,-0.16
"mu1[310]",-0.83,-0.83,0.08,-0.97,-0.68
"mu1[311]",-0.02,-0.02,0.09,-0.2,0.15
"mu1[312]",-0.16,-0.16,0.05,-0.26,-0.06
"mu1[313]",0.27,0.27,0.09,0.1,0.45
"mu1[314]",-0.13,-0.14,0.06,-0.25,-0.02
"mu1[315]",-0.51,-0.51,0.09,-0.68,-0.34
"mu1[316]",-0.31,-0.31,0.06,-0.42,-0.2
"mu1[317]",0.42,0.43,0.05,0.32,0.52
"mu1[318]",-0.13,-0.13,0.05,-0.22,-0.03
"mu1[319]",0.09,0.09,0.05,-0.01,0.18
"mu1[320]",0.43,0.43,0.05,0.33,0.53
"mu1[321]",0.08,0.08,0.06,-0.04,0.2
"mu1[322]",0,0,0.06,-0.12,0.12
"mu1[323]",-1.06,-1.06,0.09,-1.25,-0.88
"mu1[324]",-1.21,-1.21,0.08,-1.37,-1.06
"mu1[325]",0.39,0.39,0.05,0.29,0.49
"mu1[326]",-0.07,-0.07,0.05,-0.16,0.03
"mu1[327]",1.22,1.22,0.08,1.07,1.38
"mu1[328]",0.58,0.59,0.06,0.46,0.71
"mu1[329]",-0.21,-0.21,0.06,-0.33,-0.1
"mu1[330]",0.69,0.69,0.08,0.53,0.84
"mu1[331]",0.18,0.18,0.05,0.08,0.28
"mu1[332]",0.24,0.24,0.07,0.11,0.36
"mu1[333]",-1.5,-1.5,0.09,-1.67,-1.33
"mu1[334]",0.77,0.77,0.09,0.6,0.93
"mu1[335]",0.2,0.2,0.05,0.1,0.3
"mu1[336]",-0.02,-0.02,0.07,-0.16,0.1
"mu1[337]",0.64,0.65,0.06,0.53,0.75
"mu1[338]",-0.03,-0.03,0.09,-0.2,0.14
"mu1[339]",-0.04,-0.05,0.07,-0.18,0.09
"mu1[340]",0.52,0.52,0.05,0.42,0.62
"mu1[341]",0.17,0.17,0.04,0.09,0.26
"mu1[342]",-0.26,-0.26,0.05,-0.37,-0.15
"mu1[343]",-0.47,-0.47,0.06,-0.58,-0.36
"mu1[344]",0.56,0.56,0.06,0.45,0.67
"mu1[345]",0.09,0.09,0.06,-0.03,0.21
"mu1[346]",-0.16,-0.17,0.09,-0.33,0.02
"mu1[347]",-0.97,-0.97,0.09,-1.14,-0.78
"mu1[348]",0.06,0.06,0.06,-0.06,0.17
"mu1[349]",0.15,0.15,0.03,0.09,0.21
"mu1[350]",-0.39,-0.39,0.08,-0.55,-0.22
"mu1[351]",-0.35,-0.35,0.05,-0.46,-0.24
"mu1[352]",-0.27,-0.27,0.08,-0.42,-0.12
"mu1[353]",0.05,0.05,0.06,-0.08,0.18
"mu1[354]",0.97,0.97,0.07,0.84,1.1
"mu1[355]",0.5,0.5,0.06,0.39,0.61
"mu1[356]",0.19,0.19,0.04,0.1,0.27
"mu1[357]",0.41,0.41,0.06,0.29,0.52
"mu1[358]",0.55,0.54,0.05,0.45,0.64
"mu1[359]",0.67,0.68,0.07,0.53,0.81
"mu1[360]",0.59,0.59,0.06,0.46,0.71
"mu1[361]",0.4,0.4,0.07,0.26,0.54
"mu1[362]",0.8,0.8,0.08,0.64,0.94
"mu1[363]",0.01,0.01,0.06,-0.11,0.12
"mu1[364]",0.32,0.32,0.07,0.19,0.46
"mu1[365]",-0.34,-0.34,0.07,-0.49,-0.2
"mu1[366]",-0.16,-0.16,0.07,-0.29,-0.04
"mu1[367]",0.66,0.66,0.07,0.51,0.81
"mu1[368]",0.18,0.18,0.06,0.06,0.29
"mu1[369]",0.87,0.87,0.07,0.73,1.01
"mu1[370]",0.79,0.79,0.08,0.64,0.95
"mu1[371]",-0.66,-0.66,0.09,-0.83,-0.49
"mu1[372]",-0.55,-0.55,0.09,-0.72,-0.37
"mu1[373]",-1.16,-1.16,0.11,-1.37,-0.95
"mu1[374]",-0.91,-0.91,0.08,-1.07,-0.74
"mu1[375]",0.22,0.21,0.07,0.08,0.35
"mu1[376]",-0.15,-0.14,0.06,-0.27,-0.02
"mu1[377]",-0.81,-0.81,0.08,-0.98,-0.65
"mu1[378]",0.39,0.39,0.06,0.27,0.51
"mu1[379]",-0.28,-0.28,0.09,-0.46,-0.1
"mu1[380]",-0.39,-0.39,0.09,-0.57,-0.21
"mu1[381]",0.16,0.16,0.08,-0.01,0.32
"mu1[382]",0.41,0.41,0.07,0.27,0.56
"mu1[383]",0.41,0.41,0.09,0.24,0.57
"mu1[384]",-0.86,-0.86,0.1,-1.06,-0.67
"mu1[385]",-0.67,-0.67,0.1,-0.87,-0.48
"mu1[386]",-0.01,-0.01,0.1,-0.2,0.17
"mu1[387]",0.25,0.25,0.09,0.07,0.42
"mu1[388]",0.47,0.47,0.1,0.27,0.66
"mu1[389]",-0.22,-0.22,0.09,-0.4,-0.04
"mu1[390]",0.17,0.17,0.07,0.04,0.3
"mu1[391]",-0.96,-0.96,0.09,-1.14,-0.77
"mu1[392]",0.94,0.95,0.08,0.78,1.1
"mu1[393]",-0.58,-0.58,0.09,-0.77,-0.41
"mu1[394]",0.64,0.63,0.11,0.43,0.84
"mu1[395]",1.05,1.05,0.09,0.87,1.22
"mu1[396]",-0.26,-0.26,0.1,-0.46,-0.07
"mu1[397]",0.51,0.51,0.1,0.32,0.71
"mu1[398]",1.13,1.13,0.1,0.92,1.33
"mu1[399]",0.5,0.5,0.11,0.29,0.72
"mu1[400]",0.12,0.12,0.1,-0.09,0.32
"mu1[401]",0.65,0.65,0.12,0.43,0.88
"mu1[402]",-0.53,-0.53,0.12,-0.77,-0.32
"mu1[403]",-0.08,-0.08,0.13,-0.34,0.16
"mu1[404]",-0.3,-0.3,0.11,-0.52,-0.09
"mu1[405]",0.49,0.48,0.11,0.27,0.71
"mu1[406]",0.72,0.72,0.07,0.58,0.86
"mu1[407]",0.11,0.11,0.09,-0.08,0.29
"mu1[408]",0.2,0.2,0.09,0.01,0.37
"mu1[409]",0.34,0.34,0.11,0.11,0.55
"mu1[410]",0.02,0.02,0.05,-0.07,0.11
"mu1[411]",0.95,0.95,0.1,0.76,1.14
"mu1[412]",-0.42,-0.42,0.11,-0.64,-0.21
"mu1[413]",0.09,0.09,0.11,-0.12,0.29
"mu1[414]",0.38,0.38,0.1,0.19,0.57
"mu1[415]",-0.4,-0.4,0.1,-0.59,-0.2
"mu1[416]",-0.49,-0.49,0.08,-0.64,-0.33
"mu1[417]",-0.19,-0.19,0.12,-0.43,0.03
