"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"betaWS1[1]",-1.17,-1.13,0.93,-2.94,0.32
"betaWS1[2]",-2.1,-2.05,0.6,-3.35,-1
"betaWS1[3]",-2.32,-2.31,0.59,-3.52,-1.23
"betaWS1[4]",-2.22,-2.19,0.6,-3.52,-1.16
"betaWS1[5]",-2.38,-2.37,0.5,-3.42,-1.41
"betaWS1[6]",-2.07,-2.03,0.61,-3.31,-0.99
"betaWS1[7]",-2.43,-2.42,0.62,-3.77,-1.31
"betaWS1[8]",-1.66,-1.62,0.63,-2.99,-0.5
"betaWS2[1]",-0.89,-0.88,0.67,-2.23,0.35
"betaWS2[2]",1.58,1.65,0.64,-0.09,2.67
"betaWS2[3]",3.17,3.1,0.54,2.28,4.32
"betaWS2[4]",0.12,0.1,0.68,-1.19,1.45
"betaWS2[5]",-1.35,-1.31,0.73,-2.88,0.05
"betaWS2[6]",-1.1,-1.09,0.77,-2.57,0.33
"betaWS2[7]",-1.29,-1.28,0.72,-2.84,0.07
"betaWS2[8]",1.14,1.88,1.67,-2.03,3.34
"betaWS3[1]",-1.06,-1.03,0.73,-2.54,0.27
"betaWS3[2]",0.56,0.81,1.14,-1.74,2.31
"betaWS3[3]",1.13,1.12,0.51,0.14,2.14
"betaWS3[4]",1.15,1.13,0.55,0.12,2.22
"betaWS3[5]",0.3,0.31,0.53,-0.79,1.31
"betaWS3[6]",-0.9,-0.9,0.78,-2.43,0.58
"betaWS3[7]",-1.05,-0.99,0.73,-2.69,0.26
"betaWS3[8]",0.53,0.55,1.08,-1.61,2.39
"betaWS4[1]",-3.62,-3.59,0.5,-4.69,-2.72
"betaWS4[2]",-3.01,-2.99,0.53,-4.11,-2.07
"betaWS4[3]",0.02,0.03,0.2,-0.42,0.38
"betaWS4[4]",-2.03,-2.03,0.31,-2.66,-1.45
"betaWS4[5]",-2.94,-2.93,0.38,-3.71,-2.21
"betaWS4[6]",-3.33,-3.3,0.52,-4.44,-2.42
"betaWS4[7]",-3.62,-3.59,0.5,-4.66,-2.71
"betaWS4[8]",-2.32,-2.29,0.64,-3.58,-1.23
"betaWS5[1]",-2.62,-2.62,0.56,-3.81,-1.54
"betaWS5[2]",-1.32,-1.44,1.06,-3.17,0.54
"betaWS5[3]",-2.52,-2.49,0.59,-3.78,-1.42
"betaWS5[4]",-1.72,-1.7,0.47,-2.64,-0.82
"betaWS5[5]",-1.96,-1.95,0.5,-2.98,-1.03
"betaWS5[6]",-2.1,-2.06,0.61,-3.33,-1.02
"betaWS5[7]",-2.49,-2.46,0.61,-3.77,-1.38
"betaWS5[8]",-1.62,-1.68,0.8,-3.07,0.17
"betaWS6[1]",-3.33,-3.31,0.51,-4.45,-2.46
"betaWS6[2]",-2.59,-2.58,0.55,-3.74,-1.56
"betaWS6[3]",-2.86,-2.83,0.51,-3.99,-1.96
"betaWS6[4]",-2.43,-2.41,0.39,-3.28,-1.73
"betaWS6[5]",-2.45,-2.42,0.44,-3.39,-1.65
"betaWS6[6]",-2.57,-2.53,0.51,-3.68,-1.67
"betaWS6[7]",-3.02,-2.99,0.57,-4.23,-1.95
"betaWS6[8]",-2.59,-2.56,0.55,-3.71,-1.57
"betaWS7[1]",-2.15,-2.14,0.62,-3.43,-0.97
"betaWS7[2]",-1.2,-1.17,0.67,-2.66,0.04
"betaWS7[3]",-1.78,-1.74,0.63,-3.07,-0.59
"betaWS7[4]",-2.12,-2.07,0.62,-3.41,-1.02
"betaWS7[5]",2.55,2.53,0.39,1.87,3.34
"betaWS7[6]",-1.99,-1.97,0.62,-3.34,-0.85
"betaWS7[7]",-1.72,-1.71,0.62,-2.93,-0.52
"betaWS7[8]",-1.32,-1.3,0.71,-2.77,0.01
"betaWS8[1]",2.85,2.84,0.41,2.07,3.65
"betaWS8[2]",-0.59,-0.59,0.89,-2.41,1.2
"betaWS8[3]",-0.87,-0.86,0.78,-2.39,0.57
"betaWS8[4]",-1.12,-1.1,0.73,-2.62,0.29
"betaWS8[5]",-1.04,-1.03,0.78,-2.64,0.44
"betaWS8[6]",-0.84,-0.82,0.59,-2.01,0.27
"betaWS8[7]",-0.27,-0.24,0.92,-2.12,1.45
"betaWS8[8]",-0.08,-0.05,1.05,-2.24,1.91
"betaWS9[1]",-1.09,-1.04,0.77,-2.62,0.33
"betaWS9[2]",-0.74,-0.69,0.83,-2.47,0.82
"betaWS9[3]",-0.92,-0.87,0.76,-2.53,0.49
"betaWS9[4]",-0.57,-0.53,0.69,-1.98,0.67
"betaWS9[5]",-0.61,-0.62,0.84,-2.26,0.95
"betaWS9[6]",3.72,3.73,0.48,2.78,4.65
"betaWS9[7]",-0.56,-0.54,0.84,-2.24,1.05
"betaWS9[8]",1.46,1.5,0.75,-0.11,2.78
