"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"epst.phi[1, 1]",-0.24,-0.28,6.27,-13.49,11.62
"epst.phi[2, 1]",0.03,0.03,4.41,-10.57,9.64
"epst.phi[3, 1]",-0.04,-0.01,1.23,-2.76,2.72
"epst.phi[4, 1]",1.74,1.43,1.72,-0.8,5.81
"epst.phi[5, 1]",0.02,-0.05,2.66,-5.2,5.27
"epst.phi[6, 1]",0.05,0.14,3.57,-7.47,7.01
"epst.phi[7, 1]",0.14,0.06,5.6,-10.8,12.22
"epst.phi[8, 1]",0.01,-0.01,1.58,-3.23,3.54
"epst.phi[9, 1]",-0.05,0.01,2.18,-4.77,4.55
"epst.phi[1, 2]",-5.95,-5.06,4.3,-16.58,-0.13
"epst.phi[2, 2]",-0.01,0.02,4.54,-9.27,9.95
"epst.phi[3, 2]",0.52,0.19,1.2,-0.98,3.65
"epst.phi[4, 2]",0.49,0.45,0.48,-0.34,1.5
"epst.phi[5, 2]",-0.79,-0.87,0.71,-1.99,0.76
"epst.phi[6, 2]",-2.77,-2.82,0.48,-3.55,-1.67
"epst.phi[7, 2]",-4.37,-4.54,5.43,-15.28,6.81
"epst.phi[8, 2]",0.57,0.19,1.32,-1.05,4.1
"epst.phi[9, 2]",0.04,0,2.06,-4.02,4.48
"epst.phi[1, 3]",0.28,0.2,6.6,-13.19,13.78
"epst.phi[2, 3]",3.1,2.07,3.22,-0.14,12.05
"epst.phi[3, 3]",0.03,-0.01,1.12,-2.02,2.77
"epst.phi[4, 3]",2.14,1.92,1.59,-0.21,5.94
"epst.phi[5, 3]",-0.13,-0.23,1.21,-2.24,2.49
"epst.phi[6, 3]",1.84,1.34,2.62,-1.8,8.43
"epst.phi[7, 3]",3.85,2.91,3.79,-1.07,13.38
"epst.phi[8, 3]",0,0,1.6,-3.42,3.32
"epst.phi[9, 3]",1.3,0.99,1.6,-0.85,5.19
"epst.phi[1, 4]",-2.25,-2.26,6.62,-16.19,10.79
"epst.phi[2, 4]",1.19,0.51,4.18,-7.77,11.02
"epst.phi[3, 4]",0.66,0.29,1.17,-0.66,3.86
"epst.phi[4, 4]",0,-0.04,0.65,-1.06,1.4
"epst.phi[5, 4]",1.68,1.36,1.99,-1.21,6.57
"epst.phi[6, 4]",0.47,-0.1,2.15,-2.11,5.98
"epst.phi[7, 4]",3.22,2.4,4.3,-3.32,14.1
"epst.phi[8, 4]",-0.42,-0.1,1.69,-5.12,2.5
"epst.phi[9, 4]",1.01,0.73,1.91,-1.73,5.38
"epst.phi[1, 5]",-3.62,-4.01,6.27,-15.77,9.62
"epst.phi[2, 5]",2.84,1.75,3.48,-0.5,12.93
"epst.phi[3, 5]",0.18,0.03,1.07,-1.64,2.95
"epst.phi[4, 5]",2.01,1.7,1.78,-0.38,5.95
"epst.phi[5, 5]",1.67,1.3,2.02,-1.31,6.63
"epst.phi[6, 5]",1.37,0.76,2.93,-2.42,8.13
"epst.phi[7, 5]",4.05,3.07,3.9,-0.73,14.11
"epst.phi[8, 5]",0.41,0.13,1.25,-1.51,3.63
"epst.phi[9, 5]",1.46,1.07,1.66,-0.7,5.73
