"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"sigmat.p[1]",7.9,8.17,1.46,4.69,9.9
"sigmat.p[2]",7.81,7.98,1.39,4.84,9.89
"sigmat.p[3]",8.51,8.74,1.14,5.74,9.95
"sigmat.p[4]",1.85,1.67,0.81,0.86,4.01
"sigmat.p[5]",2.89,2.63,1.2,1.37,6.06
"sigmat.p[6]",3.69,3.53,1.01,2.22,6.18
"sigmat.p[7]",6.23,6.05,1.61,3.55,9.63
"sigmat.p[8]",3.06,2.81,1.1,1.63,5.9
"sigmat.p[9]",7.62,7.75,1.46,4.66,9.88
"sigmat.phi[1]",5.9,5.94,2.32,1.67,9.75
"sigmat.phi[2]",3.66,3.02,2.66,0.25,9.43
"sigmat.phi[3]",0.99,0.75,0.83,0.08,3.21
"sigmat.phi[4]",2.26,2.12,0.74,1.26,4.01
"sigmat.phi[5]",2.51,2.34,0.88,1.36,4.82
"sigmat.phi[6]",3.2,2.83,1.44,1.45,7.34
"sigmat.phi[7]",5.22,4.99,2.22,1.56,9.52
"sigmat.phi[8]",1.2,0.9,1.06,0.1,3.94
"sigmat.phi[9]",1.81,1.61,1.02,0.43,4.45
