"";"PSRF"
"alpha0";1,04709159073247
"alpha1";0,999766682108485
"alpha2";1,02137896419987
"alpha3";1,00847258831885
"alpha4";1,00917227730167
"alpha5";0,999711552960594
"alpha52";1,0025994606304
"alpha6";1,00513202328481
"alpha7[2]";1,02137846756823
"alpha7[3]";1,0428298975934
"delta0";1,01100149654953
"delta1";1,00178475564644
"delta2";1,00224168485852
"delta22";1,00072902027134
"delta3";1,00239143225102
"delta4[2]";1,00158402275359
"delta4[3]";1,00997714272879
"delta5[2]";1,00302175711214
"theta0";1,00575352335897
"theta1";1,00920872717326
"theta2";1,0004136455675
"theta22";1,00272245017329
"theta3";1,00414632626366
"theta4[2]";1,00235004037345
"theta4[3]";1,00348469626411
"theta5[2]";1,00272708667109
"sig1x";1,00061989747256
"sig2x";1,00145855783196
"sig3x";1,00901942265259
"sig4x";0,999084047417784
"sig5x";1,00532330406998
"sig6x";0,999796549922349
"sig7x";0,99929413407571
"sig8x";0,999377743477711
"sig9x";1,00225931748117
"beta1";1,06048689219929
"beta2";1,15997649780715
"gamma1";1,02371146143607
"gamma3";1,05919505200578
"eta1[160]";1,07728465685099
"eta1[320]";1,04727733742573
"eta1[480]";1,01256764794561
"eta1[560]";1,04799050231754
"eta1[720]";1,05808990455098
"mu1[160]";1,00466390756949
"mu1[320]";0,99987958872898
"mu1[480]";1,00978711775679
"mu1[560]";1,0234540089663
"mu1[720]";1,00933881614632
"mu2[160]";1,01500559171419
"mu2[320]";0,99987975242785
"mu2[480]";0,999220299079615
"mu2[560]";0,999021781444563
"mu2[720]";0,999498593396221
"mu3[160]";1,00313363099923
"mu3[320]";0,99890283199989
"mu3[480]";1,00030895064972
"mu3[560]";0,999625300528278
"mu3[720]";0,998920767632769
