"";"PSRF"
"betaSW2[5]";1,24555942564503
"betaSW4[2]";1,08858850552228
"betaSW5[7]";1,00834059429811
"betaSW7[4]";2,43163308006
"betaSW9[1]";1,18351045112681
"betaWS2[5]";1,00273454917784
"betaWS4[2]";1,00261539943087
"betaWS5[7]";1,40744287903653
"betaWS7[4]";1,00046555935216
"betaWS9[1]";1,04534472684385
"pi[1]";1,04200368388643
"pi[2]";0,998983138594186
"pi[4]";1,05376324839642
"pi[6]";1,05414924207888
"pi[8]";1,02667192478792
"sigmat.p[1]";0,999078642647585
"sigmat.p[3]";1,00150902590134
"sigmat.p[5]";1,26121548633841
"sigmat.p[7]";1,502345765146
"sigmat.p[9]";0,99931171176287
"sigmat.phi[1]";1,24284576495566
"sigmat.phi[3]";1,03656449821548
"sigmat.phi[5]";1,01900915839104
"sigmat.phi[7]";1,84498380157283
"sigmat.phi[9]";1,1195976336346
"phi[1, 2, 3]";1,10043178566335
"phi[3, 9, 5]";1,03790634253586
"phi[5, 566, 7]";1,52762073868492
"phi[6, 340, 7]";1,09194575320242
"phi[5, 682, 8]";1,03374766219938
"p[1, 2, 3]";1,01488812512129
"p[3, 9, 5]";1,17455331894872
"p[5, 566, 7]";1,40318528115335
"p[6, 340, 7]";1,00071511690812
"p[5, 682, 8]";1,80136771811765
"epst.p[4, 2]";1,07447565934601
"epst.p[1, 4]";1,01531510536042
"epst.p[5, 5]";1,10417738557201
"epst.p[3, 7]";1,00047582742073
"epst.p[9, 7]";1,00001915119631
"epst.phi[4, 2]";1,20475165655902
"epst.phi[1, 4]";1,03899416980707
"epst.phi[5, 5]";1,02292916527687
"epst.phi[3, 7]";1,00731485510105
"epst.phi[9, 7]";1,03922766826244
