"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[1]",-2.35,-2.32,0.96,-4.35,-0.5
"eta1[2]",-2.29,-2.26,0.65,-3.7,-1.11
"eta1[3]",-0.27,-0.25,0.58,-1.49,0.84
"eta1[4]",-1.09,-1.05,0.71,-2.62,0.2
"eta1[5]",2.63,2.63,0.68,1.35,3.99
"eta1[6]",0.81,0.82,0.22,0.36,1.25
"eta1[7]",0.25,0.27,0.75,-1.32,1.67
"eta1[8]",-2.05,-1.98,1.05,-4.28,-0.09
"eta1[9]",-0.28,-0.28,0.16,-0.59,0.04
"eta1[10]",0.77,0.78,0.25,0.27,1.26
"eta1[11]",3.04,3.02,1.1,1.04,5.31
"eta1[12]",-0.39,-0.38,0.38,-1.17,0.33
"eta1[13]",2.31,2.29,0.59,1.27,3.52
"eta1[14]",-3.94,-3.93,0.27,-4.48,-3.44
"eta1[15]",0.24,0.23,0.18,-0.09,0.62
"eta1[16]",-0.28,-0.28,0.12,-0.52,-0.03
"eta1[17]",-0.46,-0.44,0.24,-0.96,-0.01
"eta1[18]",1.95,1.89,0.63,0.83,3.31
"eta1[19]",0.46,0.48,1,-1.61,2.42
"eta1[20]",0.15,0.18,0.62,-1.19,1.32
"eta1[21]",3.19,3.09,1.11,1.22,5.62
"eta1[22]",3.18,3.16,0.93,1.46,5
"eta1[23]",2.47,2.47,0.89,0.8,4.26
"eta1[24]",-0.64,-0.61,0.39,-1.49,0.06
"eta1[25]",3.47,3.44,0.48,2.62,4.5
"eta1[26]",1.05,1.06,0.44,0.18,1.92
"eta1[27]",1.68,1.66,0.28,1.18,2.27
"eta1[28]",2.48,2.45,0.42,1.74,3.38
"eta1[29]",-1.8,-1.78,0.34,-2.51,-1.17
"eta1[30]",0.15,0.16,0.33,-0.52,0.8
"eta1[31]",-0.69,-0.67,0.39,-1.53,0.01
"eta1[32]",1.03,1.03,0.43,0.22,1.89
"eta1[33]",0.47,0.46,0.16,0.15,0.79
"eta1[34]",2.71,2.64,1.18,0.62,5.21
"eta1[35]",1.89,1.9,0.51,0.84,2.89
"eta1[36]",1.83,1.82,0.63,0.67,3.11
"eta1[37]",-4.98,-4.97,0.92,-6.83,-3.19
"eta1[38]",-1.08,-1.05,1.12,-3.42,1.06
"eta1[39]",1.61,1.6,1.24,-0.74,4.09
"eta1[40]",0.44,0.45,0.37,-0.31,1.16
"eta1[41]",-1.46,-1.44,0.5,-2.49,-0.57
"eta1[42]",-0.95,-0.94,0.17,-1.32,-0.65
"eta1[43]",-1.69,-1.64,0.82,-3.44,-0.15
"eta1[44]",-1.35,-1.34,0.49,-2.36,-0.4
"eta1[45]",2.64,2.64,0.71,1.34,4.1
"eta1[46]",2.62,2.6,1.04,0.7,4.64
"eta1[47]",0.73,0.74,0.22,0.29,1.17
"eta1[48]",-1.69,-1.68,0.28,-2.23,-1.16
"eta1[49]",3.26,3.23,0.82,1.8,4.96
"eta1[50]",-1.02,-0.98,0.96,-3.08,0.79
"eta1[51]",1.63,1.65,0.3,0.97,2.18
"eta1[52]",0.66,0.66,0.12,0.42,0.9
"eta1[53]",-0.16,-0.16,0.25,-0.62,0.35
"eta1[54]",-0.94,-0.93,0.6,-2.16,0.22
"eta1[55]",-1.21,-1.19,0.53,-2.31,-0.25
"eta1[56]",-2.01,-1.98,0.95,-4.04,-0.24
"eta1[57]",-3.35,-3.3,0.9,-5.25,-1.77
"eta1[58]",1.16,1.17,0.16,0.82,1.44
"eta1[59]",-1.37,-1.33,0.64,-2.75,-0.18
"eta1[60]",0.86,0.83,0.48,0.01,1.87
"eta1[61]",-3.18,-3.12,0.95,-5.23,-1.47
"eta1[62]",-4.2,-4.12,0.94,-6.21,-2.51
"eta1[63]",-2.29,-2.26,1.17,-4.75,-0.04
"eta1[64]",-1.37,-1.33,0.43,-2.3,-0.6
"eta1[65]",-1.07,-1.07,0.11,-1.3,-0.86
"eta1[66]",-1.42,-1.36,0.97,-3.51,0.4
"eta1[67]",3.82,3.75,0.81,2.37,5.59
"eta1[68]",3.1,3.06,0.51,2.19,4.18
"eta1[69]",-1.6,-1.55,0.55,-2.78,-0.61
"eta1[70]",-0.56,-0.55,0.7,-2.02,0.72
"eta1[71]",1.28,1.28,0.02,1.24,1.33
"eta1[72]",1.97,1.97,0.94,0.22,3.85
"eta1[73]",-0.81,-0.79,0.61,-2.11,0.35
"eta1[74]",-2.27,-2.21,0.86,-4.1,-0.65
"eta1[75]",2.11,2.1,0.37,1.42,2.82
"eta1[76]",-1.3,-1.29,0.45,-2.24,-0.49
"eta1[77]",-2.89,-2.83,1,-5.04,-1
"eta1[78]",-1.09,-1.05,0.47,-2.11,-0.24
"eta1[79]",-0.75,-0.67,1.45,-3.89,2
"eta1[80]",-4.41,-4.33,1.34,-7.28,-1.88
"eta1[81]",-0.82,-0.8,0.55,-1.93,0.25
"eta1[82]",-0.8,-0.8,0.12,-1.02,-0.54
"eta1[83]",1.38,1.38,0.06,1.26,1.48
"eta1[84]",-1.29,-1.28,0.39,-2.1,-0.53
"eta1[85]",0.38,0.37,0.35,-0.25,1.12
"eta1[86]",-0.05,-0.05,0.13,-0.31,0.2
"eta1[87]",-0.81,-0.81,1.08,-2.89,1.32
"eta1[88]",-3.11,-3.04,1.07,-5.41,-1.16
"eta1[89]",2.24,2.22,0.72,0.86,3.74
"eta1[90]",-1.65,-1.61,0.53,-2.78,-0.69
"eta1[91]",0.11,0.12,0.42,-0.72,0.93
"eta1[92]",-1.63,-1.59,0.66,-3.06,-0.43
"eta1[93]",0.54,0.55,0.44,-0.34,1.4
"eta1[94]",2.58,2.58,0.49,1.61,3.53
"eta1[95]",-0.89,-0.84,0.66,-2.31,0.29
"eta1[96]",0.67,0.68,0.5,-0.31,1.64
"eta1[97]",1.8,1.81,0.4,1,2.57
"eta1[98]",-0.76,-0.73,0.82,-2.47,0.82
"eta1[99]",2.42,2.41,0.3,1.88,3.04
"eta1[100]",-0.15,-0.13,0.29,-0.77,0.36
"eta1[101]",-0.01,-0.01,0.23,-0.46,0.45
"eta1[102]",-0.24,-0.2,0.71,-1.76,1.1
"eta1[103]",0.82,0.83,0.53,-0.29,1.83
"eta1[104]",-0.29,-0.26,0.34,-1.01,0.32
"eta1[105]",-0.07,-0.07,0.46,-0.97,0.81
"eta1[106]",0.06,0.06,0.25,-0.47,0.52
"eta1[107]",1.91,1.87,0.55,0.93,3.1
"eta1[108]",-1.94,-1.91,0.42,-2.84,-1.18
"eta1[109]",2.39,2.34,0.74,1,3.95
"eta1[110]",2.3,2.27,0.29,1.77,2.92
"eta1[111]",1.08,1.09,0.26,0.57,1.58
"eta1[112]",2.43,2.42,0.17,2.13,2.79
"eta1[113]",2.26,2.26,0.19,1.91,2.64
"eta1[114]",-0.63,-0.6,0.58,-1.87,0.46
"eta1[115]",2.74,2.71,0.52,1.82,3.86
"eta1[116]",-0.93,-0.92,0.37,-1.69,-0.2
"eta1[117]",-2.3,-2.27,0.68,-3.75,-1.02
"eta1[118]",3.38,3.32,0.92,1.65,5.35
"eta1[119]",0.18,0.17,0.15,-0.09,0.51
"eta1[120]",-0.68,-0.71,0.57,-1.74,0.55
"eta1[121]",-1.49,-1.43,1.12,-3.88,0.61
"eta1[122]",-0.09,-0.08,0.2,-0.53,0.29
"eta1[123]",1.67,1.64,0.59,0.62,2.92
"eta1[124]",0.6,0.6,0.27,0.08,1.14
"eta1[125]",1.04,1.04,0.15,0.75,1.33
"eta1[126]",0.67,0.67,0.34,0,1.33
"eta1[127]",1.44,1.42,0.38,0.77,2.26
"eta1[128]",-1.77,-1.74,0.49,-2.82,-0.89
"eta1[129]",-0.3,-0.29,0.12,-0.53,-0.07
"eta1[130]",-1.27,-1.26,0.47,-2.26,-0.37
"eta1[131]",1.02,1.01,0.08,0.88,1.18
"eta1[132]",0.69,0.69,0.3,0.12,1.3
"eta1[133]",-0.42,-0.36,0.63,-1.77,0.73
"eta1[134]",-1.43,-1.41,0.7,-2.96,-0.12
"eta1[135]",-1.67,-1.66,0.38,-2.45,-0.94
"eta1[136]",3.33,3.3,0.73,2.05,4.85
"eta1[137]",2.6,2.58,0.4,1.83,3.44
"eta1[138]",-0.37,-0.37,0.11,-0.61,-0.17
"eta1[139]",1.98,1.94,0.69,0.68,3.48
"eta1[140]",1.24,1.23,0.29,0.73,1.83
"eta1[141]",-1.9,-1.88,0.31,-2.55,-1.33
"eta1[142]",5.6,5.52,1.02,3.78,7.8
"eta1[143]",-1.08,-1.08,0.12,-1.31,-0.85
"eta1[144]",-0.22,-0.22,0.04,-0.28,-0.14
"eta1[145]",2.99,2.93,0.68,1.78,4.46
"eta1[146]",2.05,2.02,0.41,1.32,2.92
"eta1[147]",-0.36,-0.37,0.54,-1.44,0.7
"eta1[148]",2.74,2.68,0.78,1.33,4.41
"eta1[149]",1.31,1.3,0.27,0.78,1.84
"eta1[150]",2.41,2.36,0.75,1.01,4.01
"eta1[151]",1.46,1.42,0.46,0.63,2.44
