"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"alpha0",-0.31,-0.31,0.06,-0.44,-0.19
"alpha1",0.2,0.2,0.02,0.15,0.24
"alpha2",0.24,0.24,0.03,0.19,0.3
"alpha3",0.22,0.22,0.03,0.17,0.27
"alpha4",0.09,0.09,0.03,0.04,0.14
"alpha5",-0.11,-0.11,0.03,-0.17,-0.05
"alpha52",0.05,0.05,0.02,0.02,0.08
"alpha6",-0.04,-0.04,0.02,-0.08,0
"alpha7[1]",0,0,0,0,0
"alpha7[2]",0.09,0.1,0.09,-0.09,0.27
"alpha7[3]",0.33,0.33,0.07,0.2,0.46
"delta0",0.07,0.07,0.08,-0.08,0.22
"delta1",-0.15,-0.15,0.03,-0.2,-0.09
"delta2",0.1,0.1,0.03,0.03,0.16
"delta22",0.03,0.03,0.02,-0.01,0.07
"delta3",0.07,0.07,0.03,0.02,0.12
"delta4[1]",0,0,0,0,0
"delta4[2]",-0.18,-0.18,0.1,-0.38,0.01
"delta4[3]",-0.17,-0.17,0.07,-0.32,-0.04
"delta5[1]",0,0,0,0,0
"delta5[2]",0.09,0.09,0.06,-0.02,0.21
"theta0",0.34,0.34,0.07,0.19,0.48
"theta1",0.07,0.06,0.03,0.01,0.12
"theta2",-0.05,-0.05,0.03,-0.12,0.01
"theta22",0.08,0.08,0.02,0.04,0.11
"theta3",-0.18,-0.18,0.02,-0.22,-0.13
"theta4[1]",0,0,0,0,0
"theta4[2]",-0.27,-0.27,0.1,-0.46,-0.07
"theta4[3]",-0.61,-0.61,0.07,-0.74,-0.47
"theta5[1]",0,0,0,0,0
"theta5[2]",0.12,0.12,0.06,0.01,0.23
"sig1x",0.84,0.84,0.02,0.81,0.88
"sig2x",0.98,0.98,0.02,0.95,1.02
"sig3x",0.94,0.94,0.02,0.91,0.98
"sig4x",1,1,0.02,0.97,1.04
"sig5x",1,1,0.02,0.96,1.04
"sig6x",1,1,0.02,0.97,1.04
"sig7x",1,1,0.02,0.97,1.04
"sig8x",1,1,0.02,0.97,1.04
"sig9x",1,1,0.02,0.97,1.03
"beta1",0.45,0.44,0.12,0.24,0.7
"beta2",-0.02,-0.02,0.29,-0.61,0.5
"gamma1",-1.55,-1.52,0.5,-2.61,-0.63
"gamma3",0.68,0.68,0.45,-0.17,1.58
"F_Juv_B",0.34,0.34,0.07,0.19,0.48
"F_sAd_B",0.07,0.07,0.09,-0.11,0.23
"F_Ad_B",-0.27,-0.27,0.05,-0.36,-0.18
"M_Juv_B",0.46,0.46,0.07,0.32,0.6
"M_sAd_B",0.19,0.2,0.08,0.02,0.36
"M_Ad_B",-0.15,-0.15,0.04,-0.22,-0.07
"F_Juv_H",0.07,0.07,0.08,-0.08,0.22
"F_sAd_H",-0.12,-0.12,0.09,-0.29,0.06
"F_Ad_H",-0.11,-0.11,0.05,-0.2,-0.01
"M_Juv_H",0.16,0.16,0.07,0.02,0.3
"M_sAd_H",-0.02,-0.02,0.08,-0.19,0.14
"M_Ad_H",-0.01,-0.02,0.04,-0.09,0.07
"Juv_MS",-0.31,-0.31,0.06,-0.44,-0.19
"sAd_MS",-0.22,-0.22,0.07,-0.37,-0.08
"Ad_MS",0.02,0.02,0.03,-0.04,0.08
"Juv_H",0.11,0.11,0.07,-0.02,0.25
"sAd_H",-0.07,-0.07,0.08,-0.22,0.09
"Ad_H",-0.06,-0.06,0.03,-0.13,0
"Juv_B",0.4,0.4,0.07,0.27,0.53
"sAd_B",0.13,0.13,0.08,-0.03,0.29
"Ad_B",-0.21,-0.21,0.03,-0.27,-0.14
"F_B",0.05,0.05,0.05,-0.06,0.15
"M_B",0.17,0.17,0.05,0.08,0.26
"F_H",-0.05,-0.05,0.05,-0.16,0.06
"M_H",0.04,0.04,0.05,-0.05,0.13
