"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"betaWS1[1]",-0.97,-0.82,0.94,-2.92,0.42
"betaWS1[2]",-2.03,-1.98,0.64,-3.38,-0.91
"betaWS1[3]",-2.28,-2.26,0.58,-3.46,-1.21
"betaWS1[4]",-2.25,-2.22,0.58,-3.42,-1.22
"betaWS1[5]",-2.34,-2.32,0.52,-3.43,-1.42
"betaWS1[6]",-2.04,-2,0.6,-3.26,-0.96
"betaWS1[7]",-1.94,-1.9,0.62,-3.27,-0.84
"betaWS1[8]",-1.67,-1.69,0.78,-3.23,0
"betaWS2[1]",-0.74,-0.71,0.66,-2.09,0.49
"betaWS2[2]",1.92,2,0.71,0.28,3.03
"betaWS2[3]",3.54,3.54,0.48,2.69,4.53
"betaWS2[4]",-0.04,-0.02,0.66,-1.43,1.13
"betaWS2[5]",-1.15,-1.12,0.7,-2.65,0.15
"betaWS2[6]",-1.07,-1.04,0.76,-2.57,0.39
"betaWS2[7]",-0.66,-0.65,0.82,-2.37,0.89
"betaWS2[8]",-0.75,-0.71,0.84,-2.45,0.9
"betaWS3[1]",-1.34,-1.3,0.71,-2.83,-0.11
"betaWS3[2]",-0.39,-0.35,0.92,-2.31,1.5
"betaWS3[3]",0.82,0.81,0.51,-0.13,1.85
"betaWS3[4]",3.55,3.52,0.45,2.71,4.44
"betaWS3[5]",0.3,0.31,0.52,-0.71,1.29
"betaWS3[6]",-1.07,-1.02,0.71,-2.56,0.2
"betaWS3[7]",-0.33,-0.4,1.14,-2.38,1.88
"betaWS3[8]",-0.39,-0.39,0.9,-2.11,1.31
"betaWS4[1]",-3.72,-3.7,0.48,-4.71,-2.89
"betaWS4[2]",-3.16,-3.13,0.54,-4.31,-2.14
"betaWS4[3]",0.01,0.01,0.21,-0.38,0.43
"betaWS4[4]",-1.99,-1.99,0.3,-2.6,-1.42
"betaWS4[5]",-3.03,-3.01,0.37,-3.8,-2.36
"betaWS4[6]",-3.41,-3.4,0.53,-4.5,-2.44
"betaWS4[7]",-3.1,-3.1,0.66,-4.36,-1.9
"betaWS4[8]",-2.92,-2.88,0.49,-3.92,-2.05
"betaWS5[1]",-2.53,-2.51,0.59,-3.77,-1.44
"betaWS5[2]",-1.19,-1.36,1.08,-3.12,0.66
"betaWS5[3]",-2.4,-2.38,0.59,-3.64,-1.35
"betaWS5[4]",-1.55,-1.53,0.45,-2.49,-0.71
"betaWS5[5]",-1.93,-1.9,0.52,-2.94,-0.97
"betaWS5[6]",-2.17,-2.15,0.6,-3.39,-1.02
"betaWS5[7]",-1.96,-1.92,0.67,-3.34,-0.75
"betaWS5[8]",-0.8,-0.62,0.96,-2.82,0.62
"betaWS6[1]",-3.37,-3.34,0.5,-4.42,-2.46
"betaWS6[2]",-2.62,-2.62,0.61,-3.83,-1.41
"betaWS6[3]",-2.83,-2.8,0.49,-3.86,-1.98
"betaWS6[4]",-2.43,-2.41,0.39,-3.22,-1.72
"betaWS6[5]",-2.44,-2.42,0.43,-3.33,-1.65
"betaWS6[6]",-2.73,-2.68,0.55,-3.99,-1.77
"betaWS6[7]",-2.66,-2.63,0.56,-3.83,-1.68
"betaWS6[8]",-2.5,-2.48,0.59,-3.75,-1.39
"betaWS7[1]",-2.17,-2.15,0.65,-3.47,-0.89
"betaWS7[2]",-1.44,-1.42,0.69,-2.8,-0.12
"betaWS7[3]",-1.55,-1.52,0.64,-2.91,-0.41
"betaWS7[4]",-1.66,-1.62,0.63,-3.02,-0.54
"betaWS7[5]",-1.67,-1.64,0.64,-3,-0.52
"betaWS7[6]",-1.99,-1.97,0.6,-3.28,-0.9
"betaWS7[7]",2.81,3.04,0.88,1.37,4.12
"betaWS7[8]",-1.46,-1.46,0.72,-2.89,-0.1
"betaWS8[1]",2.36,2.36,0.5,1.41,3.32
"betaWS8[2]",-0.66,-0.72,0.94,-2.34,1.45
"betaWS8[3]",-1.08,-1.03,0.8,-2.73,0.41
"betaWS8[4]",-1.39,-1.37,0.72,-2.9,0
"betaWS8[5]",-1.42,-1.4,0.73,-2.9,-0.05
"betaWS8[6]",-1.21,-1.19,0.63,-2.52,-0.05
"betaWS8[7]",-0.66,-0.63,0.86,-2.32,0.94
"betaWS8[8]",-0.49,-0.49,0.99,-2.48,1.34
"betaWS9[1]",-1.07,-1.04,0.77,-2.69,0.38
"betaWS9[2]",-0.53,-0.53,0.9,-2.28,1.32
"betaWS9[3]",-0.82,-0.79,0.8,-2.46,0.69
"betaWS9[4]",-0.48,-0.46,0.73,-1.94,0.95
"betaWS9[5]",-0.83,-0.84,0.81,-2.43,0.68
"betaWS9[6]",3.84,3.81,0.58,2.8,5.07
"betaWS9[7]",-0.56,-0.54,0.86,-2.34,1.01
"betaWS9[8]",1.18,1.19,1.36,-1.46,3.47
