"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"alpha7[2]",0.09,0.1,0.09,-0.09,0.27
"alpha7[3]",0.33,0.33,0.07,0.2,0.46
"epst.p[1, 1]",-0.23,-0.42,8.15,-16.61,15.76
"epst.p[2, 1]",-0.14,-0.15,7.72,-15.07,16.12
"epst.p[3, 1]",-6.94,-6.08,4.18,-18.28,-1.67
"epst.p[4, 1]",1.6,1.46,1.1,-0.12,4.12
"epst.p[5, 1]",-0.21,-0.28,2.7,-5.76,5.43
"epst.p[6, 1]",0.02,0.12,3.98,-7.86,7.74
"epst.p[7, 1]",-0.07,-0.15,5.93,-11.79,12.36
"epst.p[8, 1]",-0.03,0.08,4.73,-9.7,9.15
"epst.p[9, 1]",-0.19,-0.21,7.32,-14.82,14.69
"epst.p[1, 2]",-6.95,-6.59,6.11,-19.21,6.68
"epst.p[2, 2]",-9.17,-8.14,4.16,-19.46,-3.91
"epst.p[3, 2]",-2.19,-2.17,0.47,-3.17,-1.31
"epst.p[4, 2]",1.16,1.02,0.84,-0.03,3.22
"epst.p[5, 2]",1.96,1.56,1.83,-0.26,6.46
"epst.p[6, 2]",0.68,0.07,2.07,-1.3,7.03
"epst.p[7, 2]",-6.9,-6.07,3.48,-15.69,-2.38
"epst.p[8, 2]",-3.35,-3.17,3.94,-11.85,5.53
"epst.p[9, 2]",-8.29,-7.32,4.21,-19.33,-2.96
"epst.p[1, 3]",-8.02,-7.16,5.19,-20.14,-0.82
"epst.p[2, 3]",-7.57,-6.76,4.85,-19.26,-1.17
"epst.p[3, 3]",-7.97,-7.08,3.88,-17.73,-3.08
"epst.p[4, 3]",1.1,0.95,0.77,0.08,3
"epst.p[5, 3]",-4.51,-4.18,1.64,-8.8,-2.33
"epst.p[6, 3]",-4.1,-3.99,1.04,-6.58,-2.47
"epst.p[7, 3]",-5.4,-4.75,4.2,-14.98,0.91
"epst.p[8, 3]",-5.86,-5.22,3.06,-13.81,-1.7
"epst.p[9, 3]",-6.91,-6.03,4.52,-17.66,-0.97
"epst.p[1, 4]",-8.16,-7.54,5.09,-19.81,-0.74
"epst.p[2, 4]",-9.18,-8.22,4.13,-19.71,-3.92
"epst.p[3, 4]",-1.52,-1.51,0.42,-2.38,-0.74
"epst.p[4, 4]",-0.09,-0.12,0.37,-0.72,0.77
"epst.p[5, 4]",0.26,0.05,1.16,-1.28,3.3
"epst.p[6, 4]",-1.27,-1.31,0.84,-2.72,0.48
"epst.p[7, 4]",-7.31,-6.54,3.54,-16.17,-2.58
"epst.p[8, 4]",2.68,1.85,3.45,-1.83,11.48
"epst.p[9, 4]",-8.31,-7.27,4.39,-19.24,-2.76
"epst.p[1, 5]",-8.52,-7.53,4.92,-20.65,-2.07
"epst.p[2, 5]",-7.59,-6.75,4.65,-18.75,-1.3
"epst.p[3, 5]",-8.24,-7.35,3.83,-18.69,-3.41
"epst.p[4, 5]",0.1,0.05,0.46,-0.64,1.15
"epst.p[5, 5]",-1.5,-1.48,0.43,-2.36,-0.69
"epst.p[6, 5]",-3.95,-3.81,1.01,-6.22,-2.38
"epst.p[7, 5]",-5.83,-5.09,3.95,-15.12,-0.44
"epst.p[8, 5]",-6.11,-5.48,3.09,-14.01,-1.99
"epst.p[9, 5]",-7.15,-6.37,4.32,-18.41,-1.29
"epst.p[1, 6]",-9.1,-8.19,4.66,-20.19,-2.74
"epst.p[2, 6]",-4,-3.89,0.83,-5.8,-2.57
"epst.p[3, 6]",-2.44,-2.43,0.36,-3.2,-1.77
"epst.p[4, 6]",1.64,1.45,0.87,0.46,3.81
"epst.p[5, 6]",1.22,0.9,1.28,-0.16,5.19
"epst.p[6, 6]",-1.58,-1.59,0.47,-2.47,-0.63
"epst.p[7, 6]",-4.39,-4.34,1.51,-7.64,-1.67
"epst.p[8, 6]",2.79,1.89,3.22,-0.98,11.62
"epst.p[9, 6]",-8.87,-7.91,4,-18.66,-3.9
"epst.p[1, 7]",-9.09,-8.11,4.47,-20.06,-3.26
"epst.p[2, 7]",-8.12,-7.22,4.61,-19.87,-2.29
"epst.p[3, 7]",-8.6,-7.7,3.79,-18.48,-3.86
"epst.p[4, 7]",-1.14,-1.15,0.3,-1.72,-0.56
"epst.p[5, 7]",0.26,0.22,0.35,-0.32,1.04
"epst.p[6, 7]",-0.29,-0.33,0.41,-0.99,0.6
"epst.p[7, 7]",-2.67,-2.69,1.68,-5.87,-0.08
"epst.p[8, 7]",-2.03,-2.42,1.36,-3.94,0.5
"epst.p[9, 7]",-7.42,-6.55,4.02,-17.55,-2.09
"epst.p[1, 8]",-8.89,-7.99,4.42,-19.53,-2.79
"epst.p[2, 8]",-3.09,-3.03,0.67,-4.58,-1.94
"epst.p[3, 8]",-2.09,-2.1,0.4,-2.92,-1.34
"epst.p[4, 8]",1.05,0.92,0.75,-0.04,2.89
"epst.p[5, 8]",3.31,2.96,1.69,1.05,7.41
"epst.p[6, 8]",-5.62,-5.22,2.19,-11.16,-2.56
"epst.p[7, 8]",-4.61,-4.64,1.58,-7.87,-1.82
"epst.p[8, 8]",-1.36,-1.45,1.34,-3.47,1.27
"epst.p[9, 8]",-8.21,-7.2,4.18,-18.75,-2.92
"epst.p[1, 9]",-9.29,-8.31,4.7,-21.19,-3.28
"epst.p[2, 9]",-7.66,-6.7,4.55,-19.11,-1.63
"epst.p[3, 9]",-8.19,-7.36,3.91,-18.35,-3.27
"epst.p[4, 9]",-1.37,-1.39,0.4,-2.11,-0.57
"epst.p[5, 9]",-0.44,-0.47,0.47,-1.2,0.53
"epst.p[6, 9]",-3.71,-3.57,1.09,-6.06,-1.85
"epst.p[7, 9]",1.22,-0.05,3.59,-2.51,11.36
"epst.p[8, 9]",-3.27,-3.55,1.59,-5.88,-0.33
"epst.p[9, 9]",-7.23,-6.29,4.47,-18.22,-1.34
"epst.p[1, 10]",-7.95,-7.21,5.28,-19.6,0.48
"epst.p[2, 10]",-8.37,-7.32,4.53,-19.43,-2.36
"epst.p[3, 10]",-2.21,-2.16,0.91,-4.13,-0.53
"epst.p[4, 10]",-0.74,-0.76,0.43,-1.56,0.15
"epst.p[5, 10]",0.65,0.3,1.72,-1.7,5.2
"epst.p[6, 10]",-0.67,-0.97,1.61,-2.84,3.74
"epst.p[7, 10]",-7.67,-7.09,3.79,-17.3,-1.99
"epst.p[8, 10]",-4.42,-4.04,3.21,-11.8,1.12
"epst.p[9, 10]",-2.74,-2.56,1.37,-6.04,-0.55
"epst.p[1, 11]",1.67,-0.58,5.19,-3.44,15.29
"epst.p[2, 11]",-7.44,-6.41,4.86,-18.92,-1.15
"epst.p[3, 11]",-7.69,-6.68,3.86,-17.24,-2.8
"epst.p[4, 11]",-1.15,-1.15,0.5,-2.11,-0.18
"epst.p[5, 11]",-0.8,-0.79,0.63,-2.07,0.44
"epst.p[6, 11]",-1.76,-1.77,0.68,-3.1,-0.33
"epst.p[7, 11]",-0.73,-1.53,3.18,-4.93,8.72
"epst.p[8, 11]",-4.25,-4.34,1.67,-7.4,-1.3
"epst.p[9, 11]",-0.26,-0.95,3.38,-4.64,9.96
"epst.p[1, 12]",4.68,3.29,5.47,-1.65,18.34
"epst.p[2, 12]",-4.02,-3.84,1.19,-6.8,-2.21
"epst.p[3, 12]",-2.04,-2.04,0.45,-2.96,-1.18
"epst.p[4, 12]",1.65,1.49,0.95,0.38,4.1
"epst.p[5, 12]",3.75,3.43,1.69,1.47,8.17
"epst.p[6, 12]",-1.23,-1.31,0.92,-2.63,0.55
"epst.p[7, 12]",-1.9,-2.31,1.2,-3.51,0.07
"epst.p[8, 12]",1.88,1.45,1.99,-0.5,7.32
"epst.p[9, 12]",-3.08,-2.95,1.26,-5.91,-1.01
"epst.p[1, 13]",2.55,0.22,5.32,-2.45,16.61
"epst.p[2, 13]",-7.67,-6.74,4.52,-18.64,-1.63
"epst.p[3, 13]",-8.08,-7.3,3.93,-18.02,-2.87
"epst.p[4, 13]",1.84,1.71,0.85,0.56,3.91
