"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"epst.phi[1, 1]",0.06,-0.04,5.79,-11.58,12.85
"epst.phi[2, 1]",-0.09,0,4.34,-10.03,9.49
"epst.phi[3, 1]",-0.03,0,2.7,-5.92,5.21
"epst.phi[4, 1]",1.44,1.23,1.46,-0.81,4.97
"epst.phi[5, 1]",0.11,0.12,2.68,-4.94,5.69
"epst.phi[6, 1]",0.03,0.12,3.67,-7.65,7.37
"epst.phi[7, 1]",-0.1,-0.04,6.84,-14.11,14.07
"epst.phi[8, 1]",-0.08,-0.02,4.97,-11.59,10.64
"epst.phi[9, 1]",0.07,0.04,4.34,-9.35,9.33
"epst.phi[1, 2]",-5.32,-4.49,4.11,-15.57,0.26
"epst.phi[2, 2]",0.13,0,4.35,-8.97,9.96
"epst.phi[3, 2]",1.36,0.78,2.31,-1.16,7.02
"epst.phi[4, 2]",0.61,0.57,0.51,-0.22,1.78
"epst.phi[5, 2]",-0.36,-0.4,0.74,-1.7,1.16
"epst.phi[6, 2]",-2.26,-2.28,0.61,-3.31,-1.04
"epst.phi[7, 2]",-5.98,-6.16,5.72,-17.81,5.7
"epst.phi[8, 2]",3.01,1.48,4.09,-0.84,13.63
"epst.phi[9, 2]",0.2,0.12,4.11,-8.39,9.67
"epst.phi[1, 3]",-0.26,-0.1,5.76,-12.68,12.1
"epst.phi[2, 3]",2.96,1.76,3.6,-0.14,13.02
"epst.phi[3, 3]",1.58,1.05,2.05,-0.95,6.92
"epst.phi[4, 3]",1.87,1.65,1.38,-0.28,5.01
"epst.phi[5, 3]",-0.02,-0.08,1.13,-2.07,2.46
"epst.phi[6, 3]",2.05,1.55,2.64,-1.48,8.58
"epst.phi[7, 3]",4.25,3.1,4.7,-1.71,16.13
"epst.phi[8, 3]",-0.09,-0.04,5.32,-11.83,12.05
"epst.phi[9, 3]",2.4,1.44,3.35,-1.2,11.48
"epst.phi[1, 4]",-1.75,-1.4,5.87,-14.26,9.66
"epst.phi[2, 4]",0.41,0.05,4.38,-8.81,10.67
"epst.phi[3, 4]",1.67,1.09,2.2,-0.55,7.15
"epst.phi[4, 4]",-0.07,-0.1,0.59,-1.1,1.24
"epst.phi[5, 4]",2.33,2.01,1.84,-0.49,6.68
"epst.phi[6, 4]",0.6,-0.1,2.44,-2.19,6.97
"epst.phi[7, 4]",3.94,2.75,4.9,-2.63,16.38
"epst.phi[8, 4]",2.02,0.68,3.6,-1.36,12.23
"epst.phi[9, 4]",0.86,0.35,4,-7.34,11.11
