"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"int.p[1, 1]",0.72,0.72,0,0.71,0.72
"int.p[2, 1]",0.37,0.34,0.24,0.01,0.83
"int.p[3, 1]",0.3,0.28,0.15,0.05,0.62
"int.p[4, 1]",0.64,0.64,0,0.64,0.65
"int.p[5, 1]",0.22,0.22,0,0.22,0.22
"int.p[6, 1]",0.49,0.49,0,0.49,0.49
"int.p[7, 1]",0.42,0.42,0,0.42,0.42
"int.p[8, 1]",0.31,0.31,0,0.3,0.31
"int.p[9, 1]",0.54,0.54,0,0.53,0.54
"int.p[1, 2]",0.73,0.73,0,0.73,0.73
"int.p[2, 2]",0.44,0.44,0,0.44,0.45
"int.p[3, 2]",0.35,0.35,0,0.35,0.35
"int.p[4, 2]",0.64,0.64,0,0.64,0.64
"int.p[5, 2]",0.41,0.41,0,0.41,0.42
"int.p[6, 2]",0.44,0.44,0,0.44,0.45
"int.p[7, 2]",0.47,0.47,0,0.46,0.47
"int.p[8, 2]",0.33,0.33,0,0.33,0.34
"int.p[9, 2]",0.47,0.47,0,0.47,0.47
"int.p[1, 3]",0.82,0.82,0,0.81,0.82
"int.p[2, 3]",0.47,0.47,0,0.47,0.47
"int.p[3, 3]",0.51,0.51,0,0.51,0.51
"int.p[4, 3]",0.58,0.58,0,0.57,0.58
"int.p[5, 3]",0.42,0.42,0,0.41,0.42
"int.p[6, 3]",0.59,0.59,0,0.59,0.59
"int.p[7, 3]",0.58,0.58,0,0.58,0.59
"int.p[8, 3]",0.51,0.51,0,0.51,0.51
"int.p[9, 3]",0.42,0.42,0,0.41,0.42
"int.phi[1, 1]",0.69,0.69,0,0.69,0.69
"int.phi[2, 1]",0.46,0.46,0,0.46,0.46
"int.phi[3, 1]",0.55,0.55,0,0.54,0.55
"int.phi[4, 1]",0.64,0.64,0,0.63,0.64
"int.phi[5, 1]",0.35,0.35,0,0.35,0.35
"int.phi[6, 1]",0.71,0.71,0,0.71,0.71
"int.phi[7, 1]",0.45,0.45,0,0.45,0.45
"int.phi[8, 1]",0.23,0.23,0,0.23,0.23
"int.phi[9, 1]",0.49,0.49,0,0.49,0.49
"int.phi[1, 2]",0.89,0.89,0,0.89,0.89
"int.phi[2, 2]",0.83,0.83,0,0.82,0.83
"int.phi[3, 2]",0.83,0.83,0,0.82,0.83
"int.phi[4, 2]",0.9,0.9,0,0.9,0.9
"int.phi[5, 2]",0.73,0.73,0,0.73,0.73
"int.phi[6, 2]",0.86,0.86,0,0.86,0.87
"int.phi[7, 2]",0.69,0.69,0,0.69,0.69
"int.phi[8, 2]",0.82,0.82,0,0.82,0.82
"int.phi[9, 2]",0.84,0.84,0,0.84,0.84
"int.phi[1, 3]",0.95,0.95,0,0.94,0.95
"int.phi[2, 3]",0.92,0.92,0,0.91,0.92
"int.phi[3, 3]",0.94,0.94,0,0.94,0.94
"int.phi[4, 3]",0.92,0.92,0,0.92,0.92
"int.phi[5, 3]",0.93,0.93,0,0.93,0.93
"int.phi[6, 3]",0.93,0.93,0,0.93,0.93
"int.phi[7, 3]",0.95,0.95,0,0.94,0.95
"int.phi[8, 3]",0.87,0.87,0,0.87,0.87
"int.phi[9, 3]",0.88,0.88,0,0.88,0.88
