"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"sigmat.p[1]",8.04,8.27,1.4,4.82,9.95
"sigmat.p[2]",7.66,7.8,1.46,4.7,9.88
"sigmat.p[3]",6.76,6.74,1.6,3.9,9.76
"sigmat.p[4]",1.44,1.37,0.44,0.82,2.48
"sigmat.p[5]",2.48,2.3,0.95,1.2,4.87
"sigmat.p[6]",3.77,3.59,1.11,2.2,6.5
"sigmat.p[7]",5.83,5.75,1.75,2.8,9.4
"sigmat.p[8]",4.51,4.3,1.54,2.18,8.15
"sigmat.p[9]",7.2,7.25,1.57,4.16,9.83
"sigmat.phi[1]",5.26,5.14,2.39,1.12,9.61
"sigmat.phi[2]",3.44,2.88,2.81,0.03,9.47
"sigmat.phi[3]",2.09,1.69,1.54,0.34,6.2
"sigmat.phi[4]",1.94,1.83,0.61,1.04,3.51
"sigmat.phi[5]",2.61,2.42,0.92,1.35,4.87
"sigmat.phi[6]",3.34,2.97,1.56,1.36,7.67
"sigmat.phi[7]",6.1,6.33,2.47,0.71,9.78
"sigmat.phi[8]",3.94,3.26,3.08,0.2,9.66
"sigmat.phi[9]",3.37,2.57,2.48,0.26,9.28
