SexN;AgeN;MS;LogitH;LogitB;TA;TH;WL;BH;HT;DS;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T33;T34;T35;T36;T37;T38;T39;T40
2;4;646;-0,27007919;-4,778948408;95;116,3000031;256;4,300000191;0,117361111;83;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;636;-0,178796477;-5,164785974;93;113;272;5,900000095;0,125694444;83;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;3;0
2;4;618;-0,060989013;-4,925289197;97;113,8000031;269;6,300000191;0,049305556;85;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
2;4;642;0,000320154;-5,150558254;100;112,9000015;261;6,199999809;0,043055556;85;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
1;4;574;0,064476699;-4,673473164;90;117,3000031;264;3,599999905;0,05625;85;0;8;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;583;-0,036802957;-4,994204752;95;122,8000031;257;3,700000048;0,063194444;85;0;8;0;0;0;0;0;0;0;8;6;0;0;0;0;0;0;0
2;4;632;0,04969576;-4,879006852;101;118,1999969;271;4,099999905;0,069444444;85;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;676;-0,006238323;-5,09626395;104;129,3999939;271;3,099999905;0,073611111;85;0;8;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0
1;4;566;-0,252524822;-4,98934975;98;125,0999985;273;3,900000095;0,082638889;85;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;582;-0,053848809;-4,969643908;96;112,8000031;276;4,099999905;0,033333333;85;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;519;-0,182680044;-4,433623702;96;116,3000031;260;4,599999905;0,266666667;90;0;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;598;-0,145900208;-4,962619024;98;130,1999969;268;3,599999905;0,166666667;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;535;-0,108912564;-4,760272793;101;116,0999985;252;4,199999809;0,170833333;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1;1;578;-0,602220389;-5,257495372;96;120,5;258;4,199999809;0,177083333;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;553;-0,18981591;-5,133442724;99;113,9000015;257;4,900000095;0,193055556;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
2;4;561;-0,222183529;-5,145656805;96;116,8000031;267;5,699999809;0,2375;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1;4;593;-0,132959146;-5,092676004;95;116,3000031;272;3,299999952;0,241666667;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;514;-0,218629873;-4,833632899;98;117,6999969;255;4,400000095;0,245833333;90;0;6;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0
1;4;639;0,044292489;-4,688394639;95;124,8000031;267;3,400000095;0,250694444;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;6;0;0;0
1;4;624;0,026308653;-4,944793598;100;131,8999939;266;3,900000095;0,254861111;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;471;-0,289297147;-4,643149434;95;103,8000031;250;4,800000191;0,2625;90;0;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;543;-0,041537444;-4,510859506;98;121,0999985;252;3,099999905;0,271527778;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
2;4;578;0,017957454;-4,545522909;99;118,3000031;251;4,800000191;0,323611111;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;599;-0,071809984;-5,281047892;102;123,9000015;261;3,299999952;0,320138889;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;534;0,07033458;-4,849363359;99;125;255;4,300000191;0,160416667;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;583;-0,053091392;-4,845061594;98;124;263;4,400000095;0,313888889;90;0;6;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;548;-0,077108246;-4,953904596;91;118,1999969;255;4,5;0,188194444;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
2;4;528;-0,045809536;-4,97147255;95;113,3000031;264;4,699999809;0,3;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;603;-0,271588089;-5,08996769;98;115;268;5,300000191;0,296527778;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;591;-0,10378757;-4,956921919;93;112,6999969;259;3,599999905;0,290277778;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;597;-0,083787419;-5,289686477;100;119,6999969;257;4,699999809;0,28125;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;573;-0,102637146;-4,827980349;99;117,5999985;276;4,699999809;0,275694444;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1;4;559;-0,124629319;-5,166530483;97;123,0999985;270;3,299999952;0,258333333;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;487;-0,343270284;-4,47359606;94;108,1999969;252;5,199999809;0,111805556;90;0;6;0;0;8;0;8;0;8;0;0;0;0;0;0;0;0;0
2;4;604;0,155784546;-4,882963096;102;120,0999985;263;3,799999952;0,155555556;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;544;-0,153025187;-4,708307894;97;119,8000031;262;4,099999905;0,198611111;90;0;6;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
1;4;617;-0,78474435;-4,634577278;98;127,9000015;266;4,5;0,095833333;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;661;-0,050928708;-4,749121242;97;132;260;3,299999952;0,109722222;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;553;-0,272892916;-4,313084492;95;114,1999969;261;4,699999809;0,115277778;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;596;-0,046801474;-4,954385559;96;114,9000015;252;5,300000191;0,126388889;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
2;4;597;-0,158380956;-5,374947666;101;120,9000015;268;4,199999809;0,090972222;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
2;4;586;-0,220119863;-5,114394529;102;115,8000031;271;5;0,13125;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;653;-0,052158582;-5,095164962;100;128,8000031;263;2,900000095;0,138888889;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;598;-0,305599685;-4,862876182;97;116,5;264;5,099999905;0,145138889;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;540;-0,076938079;-4,658786178;98;112,6999969;259;5;0,151388889;90;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;541;-0,145360038;-4,444352594;99;127,6999969;257;4,400000095;0,102083333;90;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1;1;576;-0,084260344;-4,968158492;94;123,3000031;254;3,900000095;0,511111111;92;0;4;4;0;4;0;4;4;3;0;0;0;4;4;0;4;3;0
2;4;576;-0,308466049;-5,268170512;97;120;260;3,400000095;0,561805556;92;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
